winner_idx,loser_idx,surface,days_ago
0,55,0,791
113,71,0,791
91,131,0,791
36,77,0,791
16,56,0,791
85,105,0,791
100,47,0,791
56,48,0,791
85,86,0,791
73,93,0,791
65,18,0,791
47,37,0,791
100,110,0,791
56,10,0,791
40,98,0,791
65,71,0,791
98,73,0,791
113,75,0,791
98,93,0,791
71,18,0,791
41,69,0,791
68,25,0,791
3,68,0,791
3,41,0,791
3,51,0,791
79,23,0,791
23,74,0,791
50,91,0,791
67,55,0,791
13,83,0,791
92,55,0,791
0,67,0,791
13,12,0,791
50,26,0,791
83,12,0,791
92,0,0,791
67,92,0,791
93,40,0,791
25,120,0,791
9,79,0,791
92,9,0,791
40,92,0,791
83,65,0,791
84,14,0,791
42,14,0,791
9,14,0,791
84,42,0,791
9,42,0,791
40,73,0,791
9,84,0,791
113,65,0,791
13,60,0,784
31,80,0,784
116,6,0,784
110,37,0,784
80,101,0,784
60,105,0,784
14,96,0,784
6,77,0,784
80,110,0,784
47,29,0,784
31,95,0,784
4,15,0,784
31,13,0,784
41,76,0,784
76,57,0,784
64,26,0,784
68,69,0,784
71,51,0,784
71,48,0,784
19,56,0,784
36,39,0,784
68,64,0,784
41,71,0,784
91,19,0,784
71,91,0,784
36,3,0,784
31,4,0,784
91,36,0,784
91,12,0,784
16,132,0,777
3,42,0,777
73,128,0,777
10,31,0,777
113,25,0,777
67,9,0,777
40,56,0,777
3,95,0,777
83,0,0,777
113,98,0,777
95,80,0,777
74,67,0,777
74,113,0,777
40,92,0,777
40,74,0,777
25,87,0,777
98,120,0,777
17,41,0,777
31,88,0,777
10,18,0,777
83,50,0,777
73,3,0,777
76,89,0,777
56,2,0,777
92,96,0,777
110,8,0,777
13,15,0,777
71,105,0,777
92,100,0,777
37,101,0,777
2,93,0,777
56,12,0,777
95,68,0,777
3,57,0,777
37,23,0,777
42,60,0,777
128,14,0,777
10,79,0,777
31,48,0,777
51,64,0,777
25,4,0,777
67,69,0,777
74,110,0,777
67,44,0,777
13,71,0,777
106,91,0,777
0,77,0,777
92,13,0,777
14,19,0,777
68,7,0,777
3,20,0,777
106,55,0,777
73,116,0,777
85,6,0,777
128,70,0,777
91,34,0,777
70,23,1,763
23,59,1,763
70,110,1,763
8,80,1,763
59,88,1,763
110,42,1,763
8,58,1,763
80,26,1,763
59,28,1,763
70,109,1,763
26,131,1,763
90,54,1,763
8,70,1,763
0,10,0,763
57,9,0,763
0,48,0,763
10,15,0,763
10,96,0,763
15,64,0,763
2,93,0,763
60,36,1,763
57,0,0,763
120,76,0,763
57,85,0,763
132,56,0,756
92,74,0,756
88,90,1,756
95,50,1,756
110,131,1,756
36,8,1,756
60,70,1,756
26,54,1,756
23,88,1,756
109,95,1,756
80,110,1,756
6,60,1,756
20,14,1,756
84,26,1,756
23,109,1,756
84,20,1,756
74,132,0,756
92,63,0,756
74,98,0,756
132,120,0,756
55,51,0,756
92,4,0,756
19,85,0,756
98,48,0,756
98,15,0,756
23,80,1,756
56,72,0,756
55,93,0,756
51,105,0,756
4,57,0,756
85,31,0,756
29,67,0,756
29,32,0,756
47,116,0,756
10,39,0,756
63,19,0,756
92,55,0,756
120,79,0,756
74,96,0,756
132,83,0,756
84,23,1,756
95,80,1,749
23,60,1,749
73,36,1,749
109,95,1,749
6,20,1,749
128,73,1,749
23,109,1,749
128,6,1,749
128,23,1,749
4,25,0,749
51,48,0,749
19,89,0,749
9,4,0,749
96,13,0,749
51,100,0,749
71,57,0,749
9,96,0,749
71,83,0,749
100,15,0,749
9,51,0,749
109,26,1,749
128,88,1,749
34,85,0,749
131,97,0,749
65,105,0,749
125,21,0,749
101,91,0,749
63,2,0,749
31,131,0,749
65,125,0,749
36,110,1,749
74,101,0,749
64,31,0,749
65,74,0,749
63,64,0,749
92,65,0,749
63,92,0,749
80,50,1,749
60,146,1,749
20,42,1,749
63,34,0,749
10,32,0,749
57,24,0,749
10,116,0,749
55,68,0,749
106,41,0,749
55,106,0,749
83,25,0,742
60,17,1,742
110,36,1,742
70,42,1,742
60,88,1,742
17,112,1,742
88,59,1,742
17,20,1,742
110,58,1,742
36,54,1,742
55,74,0,742
40,39,0,742
74,29,0,742
39,67,0,742
74,107,0,742
67,10,0,742
14,106,0,742
68,73,0,742
107,80,0,742
74,50,0,742
55,77,0,742
63,79,0,742
79,113,0,742
63,48,0,742
5,51,0,742
70,95,1,742
68,14,0,742
110,8,1,742
60,110,1,742
51,98,0,742
113,4,0,742
9,71,0,742
60,70,1,742
25,15,0,742
5,120,0,742
79,57,0,742
63,13,0,742
48,31,0,742
83,19,0,742
4,37,0,742
113,96,0,742
19,41,0,731
110,132,1,731
57,84,0,731
84,7,0,731
0,36,1,731
36,12,1,731
98,102,0,731
0,112,1,731
15,100,0,731
100,97,0,731
15,111,0,731
41,102,0,731
23,125,1,731
97,111,0,731
98,19,0,731
63,79,0,728
67,98,0,728
95,73,0,728
3,40,0,728
128,9,0,728
113,64,0,728
73,89,0,728
95,56,0,728
67,88,0,728
98,68,0,728
63,69,0,728
16,57,0,728
40,125,0,728
128,48,0,728
23,100,0,728
9,107,0,728
13,20,0,728
83,96,0,728
113,50,0,728
64,80,0,728
84,45,0,728
73,131,0,728
56,92,0,728
68,0,0,728
63,86,0,728
69,116,0,728
55,60,0,728
128,3,0,728
57,4,0,728
67,95,0,728
125,105,0,728
63,16,0,728
48,19,0,728
107,101,0,728
106,41,0,728
120,29,0,728
96,43,0,728
64,71,0,728
131,93,0,728
95,32,0,728
88,146,0,728
68,7,0,728
116,10,0,728
16,47,0,728
47,15,0,728
128,55,0,728
4,25,0,728
67,63,0,728
128,19,0,714
67,7,0,714
68,51,0,714
106,8,0,714
95,92,0,714
6,25,0,714
113,100,0,714
69,116,0,714
57,59,0,714
55,124,0,714
41,23,0,714
48,16,0,714
60,12,0,714
98,47,0,714
71,50,0,714
107,77,0,714
105,120,0,714
7,56,0,714
68,64,0,714
106,96,0,714
25,88,0,714
15,26,0,714
109,85,0,714
48,86,0,714
0,43,0,714
74,107,0,714
41,2,0,714
31,93,0,714
128,84,0,714
79,71,0,714
128,79,0,714
84,109,0,714
79,40,0,714
128,95,0,714
109,113,0,714
84,0,0,714
79,89,0,714
128,74,0,714
95,67,0,714
109,69,0,714
84,55,0,714
0,41,0,714
19,29,0,714
89,39,0,714
40,60,0,714
89,83,0,714
60,42,0,714
40,4,0,714
0,48,0,714
55,101,0,714
39,13,0,714
109,3,0,714
95,106,0,714
67,68,0,714
84,57,0,714
79,31,0,714
74,98,0,714
99,85,1,700
20,96,1,700
50,132,1,700
120,8,1,700
56,28,1,700
2,99,1,700
15,21,1,700
20,2,1,700
15,26,1,700
42,47,1,700
67,70,1,700
42,67,1,700
15,20,1,700
50,120,1,700
69,29,1,700
50,80,1,693
74,6,1,693
63,98,1,693
113,100,1,693
96,29,1,693
15,132,1,693
13,64,1,693
106,56,1,693
131,31,1,693
23,19,1,693
60,93,1,693
8,85,1,693
19,89,1,693
23,51,1,693
6,71,1,693
98,72,1,693
113,43,1,693
79,28,1,693
120,92,1,693
84,131,1,693
79,60,1,693
74,96,1,693
96,16,1,693
74,0,1,693
96,67,1,693
16,79,1,693
74,23,1,693
0,113,1,693
67,106,1,693
16,84,1,693
79,8,1,693
57,1,1,693
74,50,1,693
113,63,1,693
96,5,1,693
15,13,1,693
106,128,1,693
16,14,1,693
8,55,1,693
23,120,1,693
96,15,1,693
63,5,1,686
89,26,1,686
120,110,1,686
5,51,1,686
63,6,1,686
5,95,1,686
51,36,1,686
63,25,1,686
5,50,1,686
51,65,1,686
25,131,1,686
63,132,1,686
50,141,1,686
95,2,1,686
131,42,1,686
25,14,1,686
19,47,1,686
84,116,1,686
20,29,1,686
69,28,1,686
128,98,1,686
128,74,1,686
98,55,1,686
23,92,1,686
74,16,1,686
128,88,1,686
55,19,1,686
100,57,1,686
23,120,1,686
98,89,1,686
84,100,1,686
16,20,1,686
98,93,1,686
89,8,1,686
23,48,1,686
120,13,1,686
92,69,1,686
131,56,1,679
131,0,1,679
131,100,1,679
56,84,1,679
70,101,1,679
95,77,1,679
100,39,1,679
101,29,1,679
70,42,1,679
56,116,1,679
8,47,1,679
131,132,1,679
2,68,1,679
56,95,1,679
72,20,1,679
110,69,1,679
69,106,1,679
