ranking_date,current_rank,player,current_points,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
20240101,1,104925,11245,104925,Novak,Djokovic,R,19870522.0,SRB,188.0,Q5812
20240923,1,206173,11180,206173,Jannik,Sinner,R,20010816.0,ITA,191.0,Q54812588
20240115,2,207989,8855,207989,Carlos,Alcaraz,R,20030505.0,ESP,183.0,Q85518537
20241118,2,100644,7915,100644,Alexander,Zverev,R,19970420.0,GER,198.0,Q13990552
20240212,3,106421,8765,106421,Daniil,Medvedev,R,19960211.0,RUS,198.0,Q21622022
20241230,4,126203,5100,126203,Taylor,Fritz,R,19971028.0,USA,196.0,Q17660516
20240115,5,126094,5010,126094,Andrey,Rublev,R,19971020.0,RUS,188.0,Q17373391
20241125,6,134770,4255,134770,Casper,Ruud,R,19981222.0,NOR,183.0,Q18810082
20240729,6,200282,4185,200282,Alex,De Minaur,R,19990217.0,AUS,183.0,Q22958938
20240805,6,128034,4105,128034,Hubert,Hurkacz,R,19970211.0,POL,196.0,Q18927958
20240101,6,126774,4235,126774,Stefanos,Tsitsipas,R,19980812.0,GRE,193.0,Q24450982
20240226,7,208029,3700,208029,Holger,Rune,R,20030429.0,DEN,188.0,
20240408,9,105777,3540,105777,Grigor,Dimitrov,R,19910516.0,BUL,191.0,Q337681
20241223,12,126205,3145,126205,Tommy,Paul,R,19970517.0,USA,185.0,Q20050871
20240819,13,210097,3110,210097,Ben,Shelton,L,20021009.0,USA,193.0,Q108532383
20240415,13,200005,2535,200005,Ugo,Humbert,L,19980626.0,FRA,188.0,Q54007306
20240129,14,126207,2060,126207,Frances,Tiafoe,R,19980120.0,USA,188.0,Q17305299
20241125,15,207733,2685,207733,Jack,Draper,L,20011222.0,GBR,193.0,Q65030599
20240101,15,111575,2520,111575,Karen,Khachanov,R,19960521.0,RUS,198.0,Q16568576
20240812,15,200624,2625,200624,Sebastian,Korda,R,20000705.0,USA,196.0,Q47500285
20240715,16,207518,2330,207518,Lorenzo,Musetti,R,20020303.0,ITA,185.0,Q54813043
20240520,16,111797,2295,111797,Nicolas,Jarry,R,19951011.0,CHI,201.0,Q16466282
20240701,17,200000,2075,200000,Felix,Auger Aliassime,R,20000808.0,CAN,193.0,Q20752045
20240527,17,122330,2110,122330,Alexander,Bublik,R,19970617.0,KAZ,196.0,Q23678983
20240129,17,105173,1920,105173,Adrian,Mannarino,L,19880629.0,FRA,180.0,Q373522
20240729,18,202104,2250,202104,Sebastian,Baez,R,20001228.0,ARG,170.0,Q47396310
20240101,18,111815,1940,111815,Cameron,Norrie,L,19950823.0,GBR,188.0,Q23668736
20240701,19,126214,1904,126214,Alejandro,Tabilo,L,19970602.0,CHI,188.0,Q65159701
20241021,20,209950,2090,209950,Arthur,Fils,R,20040612.0,FRA,185.0,Q107207693
20240226,20,202103,1840,202103,Francisco,Cerundolo,R,19980813.0,ARG,185.0,Q61709770
20240101,23,134868,1640,134868,Tallon,Griekspoor,R,19960702.0,NED,188.0,Q28777443
