player_id,final_embedding
100644,"[ 8.75901431e-02 -8.24727342e-02  1.05004996e-01 -8.05428699e-02
 -7.64193386e-02  2.99141812e-03 -5.31625189e-02  7.34195784e-02
 -7.16220140e-02  1.13370888e-01  1.66848153e-01  7.73863569e-02
  6.53713942e-05 -3.05934530e-02 -2.63463892e-02  5.24351299e-02
 -1.28829926e-02  2.76093092e-02 -6.27114177e-02  1.41384006e-01
  3.66526991e-02  8.76898095e-02 -5.68713546e-02 -3.09710391e-02
 -1.89700313e-02  1.52173966e-01  8.19267333e-02  1.17286175e-01
  1.52121842e-01 -6.61311075e-02  1.45078506e-02 -2.62523405e-02
  1.47286028e-01  7.40056857e-02  4.20175269e-02  1.13810882e-01
 -4.52288911e-02  1.20345555e-01  1.22939147e-01 -1.13659874e-01
  1.20977640e-01 -5.96835762e-02  5.47008552e-02  1.03912555e-01
  1.65791929e-01 -1.46734342e-02 -1.58553377e-01 -4.79360968e-02
 -9.19495746e-02 -7.27429688e-02 -6.26175851e-02  9.05964524e-03
  8.56305659e-03  3.36504690e-02  1.10591590e-01  5.99917993e-02
 -7.32127652e-02  1.31046213e-02 -1.52976140e-01 -3.58476937e-02
 -8.83907080e-02 -1.03691779e-01 -1.46309674e-01  5.76207526e-02
  8.87612924e-02  1.11651875e-01 -6.33114204e-03  9.13691372e-02
  2.29219366e-02 -1.07397117e-01 -6.33581057e-02  2.62756385e-02
  1.31721675e-01 -6.64106384e-02 -6.89374954e-02 -3.75997946e-02
 -1.55185133e-01 -6.43458217e-02  1.26979977e-01 -1.12794489e-01
  8.93720314e-02 -7.67758265e-02 -4.32295306e-03 -8.60539600e-02
  8.10359232e-03  6.95719942e-02 -5.27215749e-02 -2.53066048e-02
  8.85927230e-02 -7.77275264e-02 -6.22010157e-02  9.39285681e-02
 -1.26887575e-01 -8.50450397e-02 -1.79125190e-01 -3.63776088e-02
  3.21382433e-02 -8.65978897e-02  1.45113364e-01  7.34006613e-02
  3.62592563e-02  1.41275786e-02  5.15548959e-02  1.78454369e-01
  1.32766917e-01 -1.21054143e-01 -7.56709203e-02  1.19776770e-01
 -1.21285468e-02  4.16117236e-02 -7.09583461e-02  1.00798793e-01
  1.71873868e-01 -4.86695543e-02 -4.83572334e-02 -1.06864944e-02
 -1.03495896e-01 -3.74542847e-02  4.85181808e-02 -1.22281566e-01
 -1.84616838e-02 -4.49362323e-02 -1.96394175e-02 -9.11683142e-02
 -1.31924480e-01 -4.18130085e-02  6.70620427e-02 -1.42177001e-01]"
104527,"[-0.06047625  0.124524   -0.06557858  0.11793811  0.05225065  0.00494295
 -0.00760423 -0.02237726  0.04019507 -0.13158573 -0.02380451 -0.05093317
 -0.07140358  0.046707    0.16403356 -0.02212843  0.03310657  0.02287711
  0.11875834 -0.140565   -0.06303704 -0.17111675  0.13598555  0.04277619
  0.0934419  -0.02997135  0.01211271 -0.08182202 -0.0453135  -0.00968244
  0.03351606 -0.02903945  0.04597319  0.01550929 -0.05192344 -0.08425981
  0.10114199 -0.05842927 -0.09367682  0.0267949  -0.01386502  0.06836309
 -0.05994999  0.10495028 -0.04785074  0.13051543  0.02077392  0.1293355
  0.05494178  0.02006498  0.13756794 -0.11634058 -0.13514778  0.07051279
 -0.08490412  0.00833615  0.00381646  0.09348597  0.04866373  0.14438775
  0.17403564  0.03035947  0.03999147 -0.09540147 -0.00477691  0.05316254
 -0.01369258  0.01642959  0.04501293  0.00994252  0.10897824 -0.11597906
 -0.09004998  0.15172565  0.18521915 -0.04272395  0.00489333  0.18285917
 -0.05333427 -0.0251554  -0.09735607  0.07708742  0.03659135  0.04814276
  0.0056501  -0.07308148  0.14969791 -0.05017813  0.06904543 -0.07959252
  0.11315964  0.0492482   0.21130355 -0.04884154  0.10868147  0.1433229
 -0.02995584 -0.08340697 -0.14403765 -0.06134401  0.06605067  0.0920261
 -0.12011508 -0.00981738 -0.04999221  0.08995206  0.18197069 -0.03180046
 -0.0571608   0.07522096  0.07445963  0.04500225 -0.00286417  0.07948296
  0.03704201  0.02956688  0.03010994  0.14478895 -0.08084375  0.03484122
  0.05950881  0.17257166  0.06818019  0.09207582  0.00404858  0.0731509
 -0.0901438   0.07316019]"
104755,"[-1.00850284e-01  1.59159422e-01 -1.12732053e-01  1.58765703e-01
  8.88900533e-02  2.51068827e-03  1.40787438e-02 -6.34637624e-02
  5.13345636e-02 -1.94818318e-01 -5.64194582e-02 -9.04433429e-02
 -8.26820433e-02  6.16406351e-02  2.20487610e-01 -5.02164140e-02
  2.81350370e-02  3.14488746e-02  1.58190116e-01 -2.12654635e-01
 -7.95690790e-02 -2.34469533e-01  1.90616518e-01  5.10681458e-02
  1.22167960e-01 -8.70720223e-02 -1.11407116e-02 -1.35478050e-01
 -9.60363448e-02  1.70555897e-02  4.56645414e-02 -2.54139714e-02
  2.87631452e-02 -2.01514661e-02 -5.09586670e-02 -1.28999770e-01
  1.38831541e-01 -1.10613666e-01 -1.44386619e-01  6.87296689e-02
 -3.09008360e-02  8.90114456e-02 -8.55767876e-02  1.12718351e-01
 -9.83170047e-02  1.81073219e-01  5.61363325e-02  1.62441522e-01
  8.29016864e-02  3.54041196e-02  1.90505341e-01 -1.51243538e-01
 -1.81547523e-01  8.87035802e-02 -1.32353857e-01 -8.05987790e-03
  3.92591357e-02  1.02614194e-01  1.02585338e-01  1.88492998e-01
  2.52461135e-01  7.36797303e-02  7.87076354e-02 -1.46025300e-01
 -2.24343687e-02  3.95969339e-02 -9.58906673e-03  2.29664147e-05
  5.20241261e-02  5.52191287e-02  1.47179276e-01 -1.49806529e-01
 -1.50850534e-01  2.19709620e-01  2.44452715e-01 -3.18911001e-02
  5.06705344e-02  2.51826644e-01 -9.96270701e-02 -1.09671988e-02
 -1.49335578e-01  1.17013045e-01  5.33008054e-02  6.77621514e-02
  5.61967120e-03 -1.20489553e-01  2.00518206e-01 -4.89165522e-02
  6.89874515e-02 -8.43677595e-02  1.53688192e-01  3.26392427e-02
  3.10233116e-01 -4.10854220e-02  1.67746350e-01  1.80825368e-01
 -3.91975790e-02 -8.87275860e-02 -2.22738490e-01 -9.65011790e-02
  6.91111013e-02  1.09864265e-01 -1.53644145e-01 -5.06638810e-02
 -1.12003557e-01  1.47917047e-01  2.59625524e-01 -6.52209371e-02
 -6.07057139e-02  7.75191411e-02  1.11394823e-01  2.10186020e-02
 -4.45877761e-02  1.00652725e-01  5.16770408e-02  1.83733348e-02
  7.19843209e-02  1.85497239e-01 -9.72184986e-02  6.49729669e-02
  7.43348673e-02  2.31278867e-01  7.46143609e-02  1.49406716e-01
  4.45728377e-02  1.08250745e-01 -1.54330879e-01  1.10468030e-01]"
104792,"[ 0.03451409  0.03351892  0.03179732  0.01566527 -0.02173708  0.00719518
 -0.04051406  0.04518606 -0.00617843 -0.00245722  0.06750117  0.02570328
 -0.03662801  0.00984164  0.0511624   0.02769132  0.02309476  0.01960264
  0.0196096   0.01551073 -0.01327216 -0.03034016  0.02631312  0.00832434
  0.03110793  0.08435473  0.05389806  0.03038735  0.06539699 -0.05404072
  0.01551736 -0.02575085  0.09599318  0.06438317 -0.02061829  0.01631714
  0.02059074  0.04220428  0.02432334 -0.0540965   0.04783321  0.00485115
 -0.00067083  0.09436973  0.06558998  0.03967274 -0.06962911  0.03881006
 -0.01776306 -0.02353553  0.02844653 -0.04579153 -0.05017775  0.04311881
  0.02434059  0.03987781 -0.05390101  0.05965103 -0.07037265  0.04665692
  0.01859149 -0.04612314 -0.0568912   0.00015913  0.03925569  0.0832696
 -0.01224227  0.05463765  0.03200025 -0.06786439  0.0189229  -0.04286817
  0.03228839  0.02385222  0.04985053 -0.04960457 -0.08960005  0.04201956
  0.04699669 -0.0606924   0.00721926 -0.00634795  0.00961361 -0.01776117
  0.00813212  0.01005096  0.03640073 -0.04353816  0.06989449 -0.07484922
  0.01755035  0.07730978  0.01361697 -0.06584688 -0.03661072  0.04923227
 -0.00257576 -0.07719216  0.01562695  0.01158015  0.05076083  0.05496786
 -0.03182951  0.08613165  0.06256507 -0.03315119  0.02635355  0.04392249
 -0.04182953  0.05674929 -0.00811547  0.08609026  0.08629232  0.02238733
 -0.00625177  0.02446664 -0.05056665  0.04831335 -0.03043148 -0.03988342
  0.02271895  0.04825604  0.03221688 -0.01853532 -0.07543407  0.01152458
  0.01882583 -0.03344989]"
104918,"[-0.02374519  0.0971483  -0.02728056  0.08298741  0.02176709  0.00617214
 -0.02368565  0.00990401  0.03004532 -0.08119843  0.00414309 -0.01979365
 -0.06142651  0.03447202  0.11821373  0.00063904  0.03712962  0.01887084
  0.08543923 -0.08200397 -0.04829036 -0.11897239  0.09309907  0.03338786
  0.06872683  0.01692407  0.030187   -0.03944437 -0.0030851  -0.03102194
  0.02351813 -0.03226687  0.06115233  0.04161679 -0.0492644  -0.04720039
  0.07166878 -0.01676172 -0.05291455 -0.00608073  0.00278525  0.04967128
 -0.0386589   0.09868079 -0.00805251  0.09140316 -0.01045563  0.09867323
  0.03196453  0.00887142  0.09637294 -0.08797692 -0.09854421  0.05593456
 -0.04465623  0.02142531 -0.02417798  0.08530397  0.00319555  0.10791817
  0.10995724 -0.00222623  0.00724309 -0.05438131  0.01184938  0.06470114
 -0.01708897  0.03023199  0.04025042 -0.02600336  0.07774707 -0.08915215
 -0.0424187   0.09885274  0.13754648 -0.05106018 -0.03346599  0.12861982
 -0.0159835  -0.03574613 -0.05493879  0.04432563  0.02391976  0.03025656
  0.00604526 -0.03609798  0.10684511 -0.04964331  0.06945811 -0.07643624
  0.07996434  0.06218614  0.13235395 -0.05521594  0.06205582  0.10966174
 -0.02243511 -0.0787824  -0.08287287 -0.03187579  0.06135194  0.07863095
 -0.09042525  0.02205867 -0.00096101  0.04450745  0.12041191 -0.00505453
 -0.05630358  0.07146288  0.04470567  0.0646968   0.02878014  0.06035892
  0.02537525  0.03626173 -0.00439947  0.10914315 -0.06846718  0.01000572
  0.04697932  0.12420694  0.05967078  0.04605872 -0.02780496  0.04514705
 -0.04049144  0.03934624]"
104925,"[ 0.1521176  -0.22612776  0.18326114 -0.19182321 -0.13492855 -0.0014144
 -0.06384594  0.09122866 -0.1665686   0.23593277  0.2993258   0.13204807
  0.05204945 -0.08494399 -0.10449041  0.07591488 -0.07059245  0.05017451
 -0.16121837  0.28811675  0.09520701  0.22243905 -0.14893508 -0.0827895
 -0.07281591  0.21792623  0.10359398  0.2056282   0.2413925  -0.0703838
  0.02471147 -0.02050897  0.2220945   0.07419096  0.13810652  0.22372091
 -0.12553844  0.2043092   0.24208441 -0.18199685  0.21818964 -0.1458579
  0.12413712  0.12759607  0.27657214 -0.0656746  -0.27281034 -0.15838096
 -0.19831271 -0.12239409 -0.1485189   0.05632618  0.06838769  0.03548655
  0.2014096   0.07117953 -0.0776366  -0.04316021 -0.24142593 -0.12455028
 -0.18742788 -0.16431293 -0.25400794  0.1196136   0.14980216  0.15346491
  0.00710426  0.13738626  0.02220545 -0.14132681 -0.15714653  0.10171211
  0.25049812 -0.15545782 -0.20322557 -0.01364964 -0.2298653  -0.18957412
  0.21737349 -0.1747202   0.18783617 -0.16167498 -0.01801738 -0.17935237
  0.00766568  0.12851265 -0.14962967 -0.01097852  0.112      -0.0829903
 -0.15812552  0.10604107 -0.2666115  -0.10665597 -0.34281892 -0.141978
  0.08313447 -0.11015711  0.27927893  0.14197496  0.02164773 -0.02897829
  0.15110013  0.29330733  0.20034125 -0.23802748 -0.18662928  0.20921169
  0.02788369  0.02229111 -0.14428455  0.10886145  0.2770152  -0.1517731
 -0.0905887  -0.0674606  -0.1600638  -0.13204657  0.15358336 -0.22215809
 -0.06604503 -0.1415455  -0.08853653 -0.1763217  -0.1850591  -0.10210881
  0.10971683 -0.26716387]"
104926,"[-0.05834423  0.12310171 -0.0632809   0.11639428  0.05052253  0.00508367
 -0.00829746 -0.02049596  0.03956796 -0.12851222 -0.02213135 -0.04899035
 -0.07054345  0.04599804  0.16175015 -0.02105687  0.03348989  0.0222488
  0.11705591 -0.13717417 -0.06222401 -0.1682373   0.13350193  0.04241744
  0.09216569 -0.026738    0.01305129 -0.07927193 -0.04282156 -0.01096239
  0.03301509 -0.02946988  0.04661703  0.01700068 -0.05153953 -0.08196156
  0.09973295 -0.05614576 -0.09088302  0.02464492 -0.013161    0.06711422
 -0.0587036   0.10438579 -0.04535489  0.12818962  0.01905428  0.1279048
  0.053849    0.01957515  0.13491422 -0.11499193 -0.13315383  0.06952424
 -0.08234923  0.00951507  0.00211479  0.09301066  0.04607187  0.14205046
  0.17032498  0.02816958  0.03811922 -0.09277996 -0.00390269  0.05390665
 -0.01392409  0.01743286  0.04480816  0.00773483  0.10752662 -0.11446053
 -0.08727085  0.1486826   0.18258631 -0.04334664  0.00250472  0.17974074
 -0.05080177 -0.02583838 -0.09489463  0.07514866  0.03581408  0.04725674
  0.00551806 -0.07073918  0.14733681 -0.05028208  0.06935672 -0.07955772
  0.11115683  0.05028483  0.2065342  -0.04926798  0.10580944  0.1415441
 -0.02951242 -0.08314722 -0.13999002 -0.05991945  0.06563601  0.09143824
 -0.11861178 -0.00752072 -0.04697702  0.08712211  0.17884737 -0.03068427
 -0.05717583  0.07487264  0.07283944  0.04593822 -0.00120048  0.07864915
  0.03647262  0.03006755  0.02819266  0.14255926 -0.07993269  0.03337921
  0.05879414  0.17003128  0.067737    0.08953159  0.00232094  0.07163432
 -0.08712352  0.07171141]"
105062,"[-0.06424774  0.1289443  -0.07081105  0.12212116  0.05648448  0.0044494
 -0.00528098 -0.02672184  0.04160045 -0.13815017 -0.02733656 -0.05530343
 -0.07243145  0.04810683  0.16993402 -0.02531598  0.03288239  0.02393637
  0.12346633 -0.14869343 -0.06482999 -0.17808431  0.14245799  0.04377455
  0.09703201 -0.03598075  0.00947221 -0.08699845 -0.05043386 -0.00701728
  0.03470512 -0.02911928  0.04412155  0.01145976 -0.05143602 -0.0884434
  0.10552228 -0.06353795 -0.09927687  0.03168768 -0.01543334  0.07061672
 -0.06259394  0.10607172 -0.05322659  0.13576221  0.02417657  0.13274306
  0.05792367  0.02209488  0.14343424 -0.12052821 -0.1401614   0.07289673
 -0.08998775  0.00644741  0.00790512  0.09504057  0.054107    0.14906612
  0.18270698  0.03469379  0.04406863 -0.10096293 -0.00664258  0.05202411
 -0.01318211  0.01485824  0.04601689  0.01480553  0.11289655 -0.11942931
 -0.09666489  0.15946826  0.19140886 -0.0409412   0.00954907  0.19018413
 -0.05816324 -0.02411423 -0.10309924  0.08119499  0.03850133  0.05024642
  0.00531139 -0.07795568  0.15522468 -0.05020987  0.0684738  -0.07968826
  0.11749028  0.04705817  0.22182152 -0.04803829  0.1146297   0.14742571
 -0.03081675 -0.08423198 -0.15273808 -0.06547658  0.06635417  0.09373228
 -0.12364864 -0.01388145 -0.0564901   0.09612095  0.19054745 -0.03485173
 -0.05777337  0.07546316  0.07841752  0.04231538 -0.00758225  0.08164629
  0.03876785  0.02877922  0.03491441  0.14963779 -0.08279888  0.03791957
  0.06132232  0.17945692  0.06934627  0.09854769  0.00858144  0.07714728
 -0.09749884  0.07718108]"
105077,"[-0.1524913   0.20340374 -0.17305471  0.2103547   0.13589661 -0.00056093
  0.04133989 -0.11589805  0.06579913 -0.27553818 -0.09825258 -0.14112534
 -0.0978604   0.08040703  0.29230112 -0.08582433  0.021598    0.04276341
  0.20791517 -0.3051094  -0.10071956 -0.31491047  0.26074815  0.06159577
  0.15874204 -0.16017759 -0.04035278 -0.20326465 -0.16095766  0.05088276
  0.06073509 -0.02026736  0.00668533 -0.06514734 -0.05026377 -0.186181
  0.18650325 -0.17718503 -0.20985237  0.12219425 -0.05258596  0.1157231
 -0.11801156  0.12269433 -0.16298646  0.245282    0.10186614  0.20468818
  0.11869037  0.05475004  0.25823933 -0.19524364 -0.24069977  0.11184072
 -0.19336432 -0.02873435  0.08422893  0.11438902  0.17132238  0.24497192
  0.35251454  0.1291408   0.12799875 -0.2110482  -0.04503819  0.02188588
 -0.00443624 -0.02132163  0.06071039  0.11277993  0.1952182  -0.19282499
 -0.22850832  0.3059327   0.3198316  -0.01835195  0.10916969  0.3399194
 -0.159208    0.00720718 -0.2153414   0.1681349   0.07437894  0.09260986
  0.00553475 -0.18105593  0.2653429  -0.04737749  0.06871079 -0.09061003
  0.2055124   0.01161327  0.4366384  -0.03126344  0.24312794  0.22852942
 -0.0514394  -0.09520181 -0.3236152  -0.14112467  0.07333177  0.13260809
 -0.19606484 -0.10329966 -0.19093522  0.22165854  0.3580487  -0.10790861
 -0.06455299  0.08035488  0.1581845  -0.00915704 -0.09757581  0.12692648
  0.06974294  0.00423469  0.12524201  0.23782529 -0.11795213  0.10343185
  0.09333579  0.3060718   0.08277784  0.2221979   0.0959905   0.15293916
 -0.2358121   0.15804754]"
105138,"[-5.58323078e-02  1.20901234e-01 -6.03340752e-02  1.13735572e-01
  4.83414456e-02  5.00219828e-03 -9.70352441e-03 -1.78364813e-02
  3.89738157e-02 -1.24517694e-01 -2.01907940e-02 -4.64516804e-02
 -6.96612298e-02  4.51314263e-02  1.58077270e-01 -1.91972051e-02
  3.37508172e-02  2.18542032e-02  1.14563316e-01 -1.32536262e-01
 -6.11547455e-02 -1.64317310e-01  1.30075365e-01  4.19310108e-02
  9.03038830e-02 -2.34614536e-02  1.45267174e-02 -7.61530027e-02
 -3.96223180e-02 -1.23869218e-02  3.21639888e-02 -2.96413414e-02
  4.77104932e-02  1.90326311e-02 -5.14867119e-02 -7.91121647e-02
  9.73352492e-02 -5.26767224e-02 -8.79166424e-02  2.21033171e-02
 -1.18539650e-02  6.59098476e-02 -5.70731834e-02  1.04004622e-01
 -4.22423929e-02  1.25188470e-01  1.65797397e-02  1.25777230e-01
  5.20168431e-02  1.86876655e-02  1.31856993e-01 -1.12733297e-01
 -1.30142927e-01  6.84353858e-02 -7.93396980e-02  1.03468187e-02
 -9.27448273e-05  9.26457867e-02  4.26138043e-02  1.39553279e-01
  1.65486589e-01  2.56383680e-02  3.57791968e-02 -8.94993395e-02
 -2.68291309e-03  5.48445210e-02 -1.41039155e-02  1.85204931e-02
  4.43858691e-02  5.05945086e-03  1.05055481e-01 -1.12352759e-01
 -8.34313631e-02  1.44489616e-01  1.78920388e-01 -4.38446626e-02
 -2.28583813e-04  1.75402597e-01 -4.79037911e-02 -2.66194530e-02
 -9.17519554e-02  7.27779195e-02  3.48774493e-02  4.59566265e-02
  5.58419852e-03 -6.78239316e-02  1.44281000e-01 -5.03232330e-02
  6.92579374e-02 -7.92869702e-02  1.08844407e-01  5.12205400e-02
  2.00407118e-01 -4.97439131e-02  1.02095559e-01  1.39344156e-01
 -2.88940892e-02 -8.29234421e-02 -1.35252729e-01 -5.77750057e-02
  6.54699206e-02  9.02910382e-02 -1.16360813e-01 -5.21680713e-03
 -4.31631356e-02  8.35247636e-02  1.73828289e-01 -2.83425748e-02
 -5.71492091e-02  7.46562704e-02  7.05528259e-02  4.75078896e-02
  1.47429109e-03  7.72582740e-02  3.55386063e-02  3.07391509e-02
  2.56292969e-02  1.40361592e-01 -7.90219009e-02  3.13490890e-02
  5.79435080e-02  1.66207954e-01  6.74232543e-02  8.59134048e-02
 -1.11415982e-04  6.93653524e-02 -8.30576271e-02  6.92328960e-02]"
