player_id,final_embedding
100644,"[ 0.11036664 -0.04097506  0.01032283  0.16400492 -0.01766638 -0.13262329
  0.09552516  0.04479508 -0.1715703  -0.03413369 -0.17936286 -0.11872128
 -0.13323793 -0.1487307  -0.13166276 -0.00895412  0.07234039  0.04264729
  0.13867235 -0.01326273  0.04476327 -0.04627904 -0.00385411 -0.0083717
 -0.05052401 -0.15073606  0.13434091 -0.08161619 -0.11778957  0.11612903
 -0.03911048  0.09275669  0.17370516 -0.11752985  0.10108948  0.05178289
  0.08727718 -0.05592816  0.13837966  0.0213311  -0.05301262  0.03421068
  0.08336732  0.01045684  0.09360117 -0.10592277  0.11366926  0.0028831
  0.05176338 -0.11718126 -0.05171914 -0.0481803  -0.01838117 -0.10838152
  0.1182385   0.06526219 -0.00863656  0.01741954  0.00075145 -0.0536169
  0.14242792 -0.01686261  0.06859209 -0.11627153 -0.10952285 -0.1521306
  0.04334366 -0.02064287 -0.03705233 -0.00888174 -0.12806875  0.12040344
  0.06662313 -0.08217776  0.02772342  0.15417603  0.12621012 -0.07114898
 -0.09129239 -0.19103152 -0.15934233 -0.16322665 -0.06923676  0.1542633
 -0.01352976 -0.02181469  0.19516423  0.08535066 -0.12577204  0.03991504
 -0.00434877 -0.04025267  0.09252632  0.14429767 -0.04992276  0.06790482
  0.12176934 -0.06550715 -0.03320418  0.02987699  0.08738214  0.07866947
  0.12395117 -0.13018689 -0.02456707  0.07284145 -0.10910976 -0.01315779
 -0.07040664  0.05844389  0.12582253  0.11297425  0.06558485  0.07397579
 -0.02319113  0.02030234  0.07515913  0.13236965 -0.12147139  0.0344262
 -0.11515569  0.10417173 -0.00449807  0.11238161  0.00177111  0.03797645
 -0.15533438 -0.14086372]"
104527,"[-0.22646277 -0.12186892  0.02459729 -0.11951235  0.00515901  0.0856825
 -0.05666399 -0.0580457   0.11941387 -0.02834339  0.06391307  0.30678394
  0.03506881  0.15702523  0.23773679  0.06858975 -0.15354216  0.01969898
 -0.19485852 -0.25522846 -0.10146505 -0.03819643 -0.04343553  0.2137675
  0.04444039  0.10383279 -0.06951071  0.02027393  0.09153478 -0.14376698
 -0.05406104 -0.14120327 -0.05369743  0.12198722  0.04952335 -0.14956267
 -0.15420674  0.02046692 -0.1463477  -0.18040389  0.14147371 -0.3255716
 -0.16609924 -0.22409356 -0.2528976   0.19210005 -0.22358334  0.09850046
  0.07953964  0.07580379 -0.02686396 -0.03684536 -0.26491892  0.16264498
 -0.15987635 -0.09036466 -0.16005105 -0.08730903 -0.16782567  0.01038104
 -0.11706156 -0.002831   -0.09987129  0.11471409  0.22236079  0.15497471
 -0.00043415  0.13281623  0.00395749  0.04815869  0.01701324 -0.19918749
 -0.00979017  0.29358634 -0.13562892 -0.16109532 -0.20659792  0.19189101
  0.11109533  0.20023516  0.03346256  0.27701253  0.17902258 -0.08935145
  0.05921912  0.08529496 -0.09818643 -0.23766756  0.09770382 -0.08464067
  0.00503142  0.22345892  0.04081775 -0.281393    0.18656147  0.03285455
 -0.01926114 -0.08132377  0.09700368  0.09219016  0.02992369 -0.03903355
 -0.05974056 -0.00199969  0.15660794 -0.13349794  0.06177521  0.04429491
  0.02228053  0.01274878  0.02591777 -0.08248822  0.04544778  0.10510714
 -0.03892796  0.09777314  0.15536222 -0.37204927  0.221632   -0.02315778
  0.12461494 -0.13930295  0.14647819 -0.16652742 -0.02590489 -0.06394695
  0.14956425  0.25838014]"
104755,"[-4.62948769e-01 -1.64780289e-01  3.83243486e-02 -3.07377815e-01
  3.69022079e-02  2.03370139e-01 -1.63115621e-01 -1.44792885e-01
  2.89349794e-01 -4.05492783e-02  1.90964639e-01  5.57574153e-01
  1.25039428e-01  3.12013566e-01  4.55569774e-01  1.22035958e-01
 -3.06641877e-01  2.71234699e-02 -4.23580289e-01 -4.23823595e-01
 -1.46842882e-01 -1.50698870e-02 -5.69420718e-02  3.48785996e-01
  9.73366648e-02  2.58151710e-01 -2.00740725e-01  7.99252242e-02
  2.49722540e-01 -2.84545273e-01 -4.42951322e-02 -3.01324725e-01
 -1.68943033e-01  2.73083568e-01  2.92548202e-02 -2.64430046e-01
 -3.05798382e-01  4.36141193e-02 -3.02308321e-01 -3.16826046e-01
  2.17900783e-01 -5.58041930e-01 -2.76279271e-01 -3.60883951e-01
 -4.40601259e-01  3.46096009e-01 -4.46520627e-01  1.78550735e-01
  7.83853009e-02  2.03714162e-01 -3.30446810e-02 -2.09941398e-02
 -4.37609136e-01  2.91976303e-01 -3.31953973e-01 -2.05233961e-01
 -2.44045138e-01 -1.05313666e-01 -2.91451126e-01  4.48700227e-02
 -2.72781014e-01 -3.05547360e-02 -2.01904655e-01  2.62162387e-01
  4.11401927e-01  3.56511861e-01 -2.31735688e-03  2.12517738e-01
  3.80403511e-02  1.02921247e-01  9.85705405e-02 -3.52790564e-01
 -4.91156802e-02  5.11119843e-01 -2.31978193e-01 -3.45180213e-01
 -4.07832086e-01  3.50389123e-01  1.95316732e-01  4.38803166e-01
  1.23881802e-01  5.38789749e-01  2.87059307e-01 -2.28242457e-01
  1.51652172e-01  1.42272502e-01 -2.07834020e-01 -4.11062598e-01
  2.23027974e-01 -1.46252066e-01  2.18191333e-02  3.80606651e-01
  2.01969631e-02 -5.66041827e-01  3.33615363e-01  1.23968646e-02
 -9.46695060e-02 -1.02922663e-01  1.22687668e-01  1.00267649e-01
  1.28437728e-02 -9.85578001e-02 -1.83209017e-01  6.42218962e-02
  2.64596611e-01 -2.48235345e-01  1.80904970e-01  8.64205956e-02
  6.13418296e-02 -2.48103961e-02 -2.82556191e-02 -2.02795386e-01
  2.04480998e-02  1.36127159e-01  6.99799508e-03  1.17529958e-01
  2.37525418e-01 -6.85176015e-01  4.50991690e-01 -7.24280179e-02
  2.46762976e-01 -3.00795436e-01  2.23416567e-01 -3.62391979e-01
  1.66557729e-04 -1.14497364e-01  3.41887385e-01  5.10259271e-01]"
104792,"[-0.07480039 -0.09253399  0.01641612 -0.00032318 -0.01598436  0.0074789
  0.00922339 -0.00415003  0.01457337 -0.02280984 -0.01905506  0.14402331
 -0.02004033  0.05368914  0.10009693  0.03352285 -0.06003644  0.01586856
 -0.05415251 -0.14959961 -0.0685519  -0.05219352 -0.0347806   0.12621333
  0.00932183  0.004611    0.01227728 -0.02025358 -0.00669642 -0.05546341
 -0.05855375 -0.0404742   0.02349275  0.02610245  0.06483638 -0.07151347
 -0.05493794  0.00604685 -0.0480341  -0.0952969   0.08849568 -0.18102866
 -0.09173842 -0.13494952 -0.13078949  0.09230135 -0.08026199  0.0481799
  0.07652746 -0.00614785 -0.02546391 -0.04712689 -0.15638217  0.07653411
 -0.05147327 -0.01633933 -0.10572559 -0.07067461 -0.08801317 -0.0082795
 -0.01997484  0.00981993 -0.03529593  0.02176709  0.10474439  0.0290145
  0.00315214  0.08179688 -0.01627853  0.01433423 -0.03781835 -0.10031623
  0.01661367  0.15486601 -0.0713313  -0.04195197 -0.07800063  0.0931672
  0.0556165   0.05005904 -0.02734164  0.11479829  0.1062756   0.002076
  0.00292721  0.05019176 -0.02330181 -0.12500477  0.01623959 -0.04249064
 -0.00462833  0.12343134  0.05536938 -0.10250521  0.09502134  0.04610122
  0.02824555 -0.06520846  0.07442508  0.08555622  0.04404822 -0.00227428
  0.01697268 -0.04422247  0.08793046 -0.06258408 -0.01520048  0.01593267
 -0.00320553  0.03645515  0.06266444 -0.00540506  0.06347127  0.0849573
 -0.06331488  0.08440628  0.10624768 -0.17321321  0.07928374  0.00624188
  0.04364812 -0.03994346  0.09510997 -0.0440104  -0.03708759 -0.03042714
  0.02888155  0.09492636]"
104918,"[-1.54810593e-01 -1.08618781e-01  2.03500427e-02 -6.39971197e-02
 -4.13969904e-03  5.00773638e-02 -2.51487717e-02 -3.19720358e-02
  6.98767155e-02 -2.48878561e-02  2.60041282e-02  2.31783107e-01
  8.51555169e-03  1.10444754e-01  1.72928751e-01  5.24706356e-02
 -1.08576499e-01  1.66894104e-02 -1.27781808e-01 -2.05006629e-01
 -8.74176770e-02 -4.55264747e-02 -3.92969772e-02  1.73535183e-01
  2.89383307e-02  5.81313074e-02 -3.06754187e-02  2.50130892e-03
  4.49372306e-02 -1.02151185e-01 -5.68010025e-02 -9.33771729e-02
 -1.90022886e-02  7.68371671e-02  5.56592494e-02 -1.14988655e-01
 -1.08754873e-01  1.39748361e-02 -1.00133978e-01 -1.40046209e-01
  1.18328229e-01 -2.56735563e-01 -1.33362681e-01 -1.83847189e-01
 -1.96965858e-01  1.46854922e-01 -1.57061875e-01  7.50402287e-02
  7.95580074e-02  3.71963643e-02 -2.52620690e-02 -4.18717749e-02
 -2.12907746e-01  1.23934127e-01 -1.08438328e-01 -5.58390319e-02
 -1.35370463e-01 -8.15948844e-02 -1.30895630e-01  8.26187432e-04
 -7.11235702e-02  5.23775164e-03 -6.98791221e-02  7.13226274e-02
  1.66649655e-01  9.56454128e-02  1.97759829e-04  1.09531835e-01
 -6.06003404e-03  3.17317843e-02 -8.16740841e-03 -1.54318497e-01
  2.25941092e-03  2.29482368e-01 -1.06878564e-01 -1.06490925e-01
 -1.46504462e-01  1.44775659e-01  8.53969008e-02  1.30695850e-01
  5.63991442e-03  2.00145125e-01  1.46753475e-01 -4.74298894e-02
  3.16069685e-02  6.86270595e-02 -6.52612597e-02 -1.85787708e-01
  6.01921752e-02 -6.57370463e-02  2.41510570e-04  1.77561402e-01
  4.71784770e-02 -1.97166100e-01  1.42742634e-01  3.85885909e-02
  3.30863893e-03 -7.43968263e-02  8.88562948e-02  8.98242593e-02
  3.55366766e-02 -2.17959639e-02 -2.33241022e-02 -2.09942646e-02
  1.24551624e-01 -1.00039870e-01  2.63167769e-02  3.11987624e-02
  1.08106341e-02  2.39490643e-02  4.20501679e-02 -4.64730226e-02
  5.25881536e-02  9.53912884e-02 -5.23470044e-02  9.20946300e-02
  1.31270602e-01 -2.79540628e-01  1.53466254e-01 -8.61904770e-03
  8.78043994e-02 -9.15537030e-02  1.22940391e-01 -1.08797207e-01
 -3.32728885e-02 -4.86173742e-02  9.24172699e-02  1.83367044e-01]"
104925,"[ 0.18648058  0.0026898   0.01220237  0.24276356 -0.0017506  -0.23036678
  0.13038334  0.05762013 -0.2896884  -0.05425851 -0.29157683 -0.25585824
 -0.21241358 -0.2817666  -0.2680633  -0.01392121  0.13711582  0.07132192
  0.2278083   0.04935568  0.14374171 -0.03455694  0.02468362 -0.08428769
 -0.09181432 -0.23917145  0.19812861 -0.11423528 -0.16492918  0.23039915
 -0.01600575  0.15927061  0.28107834 -0.20076746  0.13163063  0.12710562
  0.16121013 -0.11552235  0.2569573   0.07307549 -0.16871585  0.16955766
  0.22419441  0.09031978  0.23047297 -0.24007592  0.2196681  -0.01126176
  0.0324024  -0.17223385 -0.07521553 -0.0470883   0.04187535 -0.22788893
  0.21552324  0.10017992  0.05420835  0.10568923  0.04231679 -0.07888284
  0.23756763 -0.04675574  0.12643015 -0.19124672 -0.24620798 -0.24456783
  0.0914743  -0.09163788 -0.04117526 -0.00975896 -0.17999944  0.2800866
  0.10590863 -0.22179408  0.08248986  0.2733295   0.25866324 -0.16260009
 -0.21230374 -0.33751664 -0.26866427 -0.31911337 -0.19773503  0.24297562
  0.00972351 -0.07683054  0.3556115   0.22717205 -0.21380311  0.10061318
  0.00266137 -0.13161312  0.11677809  0.26628762 -0.13442296  0.07935254
  0.17608836 -0.08195186 -0.13959402 -0.03418239  0.12621279  0.14873278
  0.1758964  -0.18769507 -0.09523678  0.1640984  -0.1535657  -0.02269212
 -0.12975001  0.06215904  0.1696171   0.17414078  0.06252943  0.08194231
  0.03165647 -0.04865599  0.09032454  0.29602426 -0.21625158  0.04388909
 -0.22771777  0.18149914 -0.07572494  0.18188363  0.06288642  0.07527873
 -0.25617498 -0.2616392 ]"
104926,"[-0.3468447  -0.14383027  0.03163112 -0.21515523  0.02133561  0.14554302
 -0.11077787 -0.10217768  0.2062404  -0.03447745  0.12855873  0.43449384
  0.08060344  0.23599544  0.34856817  0.09604181 -0.23157912  0.02347576
 -0.31125653 -0.34111673 -0.12462819 -0.02678881 -0.05025216  0.282636
  0.07158449  0.18224886 -0.13631389  0.05061593  0.17226008 -0.21553782
 -0.04896213 -0.22269018 -0.11229198  0.1990093   0.0389818  -0.2082663
 -0.23156008  0.03251741 -0.22592852 -0.25003108  0.18056431 -0.44394493
 -0.22199872 -0.29366812 -0.34849218  0.27027628 -0.3370005   0.1393895
  0.07876065  0.14072101 -0.03013997 -0.02875204 -0.35290086  0.22823402
 -0.24733698 -0.14891343 -0.20280772 -0.09643096 -0.23083979  0.02774873
 -0.19652742 -0.01697504 -0.15196913  0.18971317  0.31858745  0.25757095
 -0.0015074   0.173472    0.02130532  0.07590672  0.05860674 -0.27744415
 -0.02986321  0.40422952 -0.18471265 -0.2549314  -0.3091524   0.27241272
  0.15412064  0.3220027   0.07939073  0.41032565  0.23398773 -0.15985543
  0.10592572  0.11402325 -0.15405336 -0.32574221  0.16167292 -0.11614963
  0.01380429  0.30342227  0.0302032  -0.42640713  0.2614693   0.02231648
 -0.05772692 -0.09239613  0.11011714  0.09632829  0.02140452 -0.06902035
 -0.12250654  0.03182444  0.21161385 -0.19193256  0.1224639   0.06581691
  0.04206331 -0.00642928 -0.00175466 -0.14331944  0.03262576  0.12084357
 -0.01550908  0.10810054  0.1974787  -0.5314322   0.33849326 -0.0482215
  0.18700157 -0.22144254  0.18571919 -0.2663051  -0.0123577  -0.08969709
  0.24731515  0.3868072 ]"
105062,"[-6.3646573e-01 -1.9592929e-01  4.8730627e-02 -4.4506305e-01
  6.0155254e-02  2.8979081e-01 -2.4082419e-01 -2.0814149e-01
  4.1375488e-01 -4.9763653e-02  2.8415340e-01  7.4088508e-01
  1.9106933e-01  4.2560640e-01  6.1520767e-01  1.6134423e-01
 -4.1870302e-01  3.2697462e-02 -5.9123707e-01 -5.4728943e-01
 -1.7979290e-01  2.2818632e-03 -6.6581458e-02  4.4773251e-01
  1.3602576e-01  3.7134054e-01 -2.9669577e-01  1.2352726e-01
  3.6569756e-01 -3.8724619e-01 -3.7205361e-02 -4.1823402e-01
 -2.5338417e-01  3.8389030e-01  1.4761314e-02 -3.4851974e-01
 -4.1707605e-01  6.0272455e-02 -4.1621253e-01 -4.1670191e-01
  2.7363351e-01 -7.2844207e-01 -3.5694793e-01 -4.6121100e-01
 -5.7813126e-01  4.5875269e-01 -6.1011732e-01  2.3670281e-01
  7.7819027e-02  2.9756537e-01 -3.7424631e-02 -9.6843764e-03
 -5.6414074e-01  3.8701081e-01 -4.5782205e-01 -2.8914484e-01
 -3.0614564e-01 -1.1847885e-01 -3.8189408e-01  7.0143431e-02
 -3.8661128e-01 -5.0722100e-02 -2.7676541e-01  3.6998755e-01
  5.4970920e-01  5.0413764e-01 -3.3698387e-03  2.7104208e-01
  6.3195392e-02  1.4311814e-01  1.5825507e-01 -4.6499717e-01
 -7.7863604e-02  6.7064089e-01 -3.0282164e-01 -4.7970092e-01
 -5.5509335e-01  4.6634290e-01  2.5701633e-01  6.1295074e-01
  1.9011356e-01  7.3028266e-01  3.6582115e-01 -3.3023953e-01
  2.1955706e-01  1.8442734e-01 -2.8807884e-01 -5.3836757e-01
  3.1435242e-01 -1.9155973e-01  3.3827405e-02  4.9577147e-01
  5.1962584e-03 -7.7455610e-01  4.4130355e-01 -2.6946515e-03
 -1.5003248e-01 -1.1866188e-01  1.4138627e-01  1.0604671e-01
  2.0563602e-06 -1.4218538e-01 -2.7350080e-01  1.1249264e-01
  3.4368876e-01 -3.3236405e-01  2.6785916e-01  1.1749727e-01
  8.9814276e-02 -5.2385919e-02 -6.8011545e-02 -2.9085314e-01
  2.6044287e-03  1.5896204e-01  4.0542834e-02  1.3207959e-01
  2.9705554e-01 -9.1448075e-01  6.1865580e-01 -1.0838230e-01
  3.3588713e-01 -4.1913348e-01  2.7949339e-01 -5.0591439e-01
  1.9753948e-02 -1.5155180e-01  4.8269850e-01  6.9461459e-01]"
105077,"[-0.50250643 -0.17199984  0.04050303 -0.33877206  0.04216754  0.22335853
 -0.1808535  -0.15918034  0.3177954  -0.04290283  0.21205604  0.5993327
  0.14005911  0.33828738  0.49213347  0.13125043 -0.33260092  0.02820241
 -0.4622137  -0.45216343 -0.15439191 -0.01120795 -0.05902818  0.37172747
  0.10584079  0.28367162 -0.22270232  0.0898639   0.27640375 -0.30799404
 -0.04250676 -0.3282796  -0.18803588  0.29853782  0.02581159 -0.28381526
 -0.33118054  0.0475295  -0.32832843 -0.33964917  0.23057891 -0.59682614
 -0.2944071  -0.38389316 -0.4722621   0.372307   -0.48347878  0.19176216
  0.07841283  0.22480977 -0.03396135 -0.01861688 -0.46686465  0.31388682
 -0.3604468  -0.2243952  -0.25826028 -0.10804111 -0.31195414  0.0505545
 -0.2989049  -0.0350913  -0.2194255   0.2868585   0.44283214  0.3904744
 -0.0024071   0.22595     0.04371346  0.11212074  0.11254613 -0.37867692
 -0.05520061  0.5477257  -0.24794164 -0.3755554  -0.4417369   0.37666184
  0.20946474  0.4786545   0.13893454  0.5828808   0.30514416 -0.25156677
  0.1672509   0.15156172 -0.22648263 -0.43966722  0.24423662 -0.15661451
  0.02462925  0.40718076  0.01698061 -0.61360687  0.3581082   0.00909446
 -0.10722283 -0.10670319  0.1269967   0.10124661  0.01012292 -0.10831567
 -0.20359091  0.07511779  0.2827754  -0.26752973  0.2006267   0.09359156
  0.06767657 -0.0310528  -0.03732096 -0.22270733  0.01648858  0.14130464
  0.01453513  0.12109925  0.2511496  -0.7376486   0.48942596 -0.08069165
  0.26737228 -0.32772666  0.23636882 -0.39526713  0.00512505 -0.12303352
  0.37384394  0.5525961 ]"
105138,"[-0.24242114 -0.12489346  0.02545435 -0.13267246  0.00738154  0.09365435
 -0.06425552 -0.06409636  0.13140297 -0.02917758  0.07251897  0.32423887
  0.04140829  0.16793953  0.25259742  0.07231813 -0.16428037  0.01997822
 -0.21102908 -0.26733047 -0.10467499 -0.03676319 -0.04409765  0.2231878
  0.04828068  0.11434848 -0.07838932  0.02439601  0.1027876  -0.15370904
 -0.05324122 -0.15247104 -0.06169088  0.13246809  0.04785847 -0.15782066
 -0.16469674  0.02235574 -0.15713316 -0.19031781  0.14661026 -0.34177274
 -0.17343181 -0.23374602 -0.26603478  0.20291737 -0.2387697   0.10432084
  0.07957474  0.08417535 -0.02735655 -0.03590138 -0.27673095  0.1714237
 -0.1715325  -0.0984364  -0.16596267 -0.08853959 -0.17659646  0.01289047
 -0.12810089 -0.00468574 -0.1071214   0.12492234  0.23562913  0.16914546
 -0.00084656  0.13850367  0.00634057  0.05205835  0.02248789 -0.21031415
 -0.01239883  0.30856332 -0.14232951 -0.17390516 -0.22082984  0.20291653
  0.11663108  0.2172097   0.03955192  0.29523814  0.18671618 -0.09893959
  0.06537937  0.08899464 -0.10586171 -0.24942158  0.10647848 -0.08896971
  0.00645049  0.23445113  0.03947061 -0.30107403  0.19676599  0.03140762
 -0.02444316 -0.08289707  0.09857493  0.0927405   0.02901061 -0.04314692
 -0.06816049  0.00277144  0.16409647 -0.14167316  0.07033037  0.04714426
  0.02493744  0.01023132  0.0220736  -0.09037392  0.04346689  0.10706692
 -0.03583796  0.09932844  0.16131899 -0.39403754  0.23761582 -0.02636658
  0.133221   -0.15033896  0.15169556 -0.18029368 -0.02397954 -0.0672774
  0.16271424  0.2759295 ]"
