player_id,final_embedding
100644,"[-0.03830138 -0.05333846 -0.03913127  0.08498281  0.06760499  0.06444499
 -0.10253188 -0.08242594  0.02423958 -0.08035465 -0.02945916  0.05877389
  0.06871952  0.03026161  0.11444159  0.06057859  0.10655403 -0.0124045
 -0.11614209 -0.08266521 -0.07614417  0.0170464  -0.07316884 -0.03772531
 -0.01849027  0.05098809  0.02889302 -0.10947963  0.0394557   0.11820932
 -0.02884279 -0.00333851 -0.03111254  0.05903883 -0.05961604 -0.03257518
  0.09881049 -0.05174628 -0.02595452 -0.10646448 -0.09149432 -0.06768141
 -0.01548964  0.10593264 -0.02019575  0.07606009 -0.04302301 -0.09368149
  0.110335   -0.03763377 -0.07545771  0.08992899  0.10177765 -0.01031502
 -0.05618405 -0.06824361  0.01330296  0.02304106 -0.03966435 -0.12421882
  0.0548752  -0.10913797  0.01857365  0.06338352  0.11109976  0.03815485
 -0.00481794  0.01397702  0.00943727  0.1370085   0.04712287 -0.07532614
 -0.15072148  0.00459096 -0.05070595  0.02642624 -0.15233757  0.08710653
  0.04956945 -0.05971413 -0.09947009  0.09512277  0.03227029 -0.02987348
 -0.13100258  0.10274452 -0.04625812 -0.0968193  -0.00873596 -0.0567538
 -0.01553826  0.06284931  0.10297377  0.06152793 -0.02507327  0.10966396
 -0.02251197  0.03078722  0.00754964  0.08320732  0.00957863 -0.02942713
 -0.12030751  0.0877468   0.03235299  0.00157353  0.1290019  -0.03685898
  0.10604723 -0.10329598  0.04121569 -0.11727762 -0.0138323   0.13197535
 -0.10535617  0.03052354 -0.02392724  0.07742091  0.03310365  0.0582757
  0.128365   -0.0949344  -0.11235358  0.11282925 -0.0251678  -0.05742675
 -0.09354302 -0.04426266]"
104527,"[ 0.07147462  0.05417763 -0.15842623 -0.08160906 -0.10409943 -0.23020607
  0.08540139  0.08014297  0.24590379  0.20397694 -0.16618912  0.09607857
 -0.13331646  0.00758456 -0.11794259 -0.13439627 -0.10770999  0.08236598
  0.14437957  0.40000445  0.0594926   0.00508342  0.066851   -0.1538446
  0.25232753  0.13702217 -0.26099497  0.08606531  0.05121129 -0.10040835
  0.08332976 -0.102762   -0.11613358 -0.24949554  0.1866442  -0.11459704
 -0.20542389 -0.12228844  0.30185437  0.17552242  0.02196302  0.0005415
  0.10790599 -0.04934366 -0.05327484  0.0258734  -0.07147689  0.22314921
 -0.08171148  0.2028836   0.13183604 -0.2638536  -0.06103344 -0.2883446
 -0.13476083  0.12902296  0.19354646 -0.09372161  0.06632689  0.13044026
  0.13852674 -0.00653334 -0.04506847 -0.06347372 -0.09325891 -0.07852209
  0.2366589   0.10279487 -0.07254214 -0.22829756 -0.12909293  0.11026114
  0.13841176  0.08059195  0.26009417 -0.15916976  0.02043359 -0.06160882
  0.0962611  -0.1003658   0.15342778 -0.10778805  0.18239102  0.20414224
 -0.11300367 -0.12745564  0.13443795  0.15604398 -0.1679993  -0.06382757
  0.2209813  -0.12906869  0.05897185  0.16170038  0.06071567 -0.16769585
 -0.23533435 -0.14757518  0.24714057 -0.21986437  0.10557432  0.2807992
  0.04612521 -0.11197674  0.01551822 -0.10608713 -0.0626633   0.16935425
 -0.00603143  0.25334954 -0.1853966   0.09972817 -0.09892909 -0.1496816
  0.09624013 -0.149101   -0.10208734 -0.17736413  0.12136956 -0.1507466
 -0.05848547  0.08494487  0.05896853 -0.2635214   0.12428089 -0.01864155
  0.01824684 -0.1019797 ]"
104755,"[ 0.09747228  0.07508958 -0.2177212  -0.1232095  -0.18218315 -0.3256008
  0.16379386  0.12744124  0.32010132  0.3002778  -0.20398396  0.11631416
 -0.20592421  0.00310159 -0.21260399 -0.18788503 -0.19346817  0.11565134
  0.22819744  0.5750353   0.09949826  0.0035043   0.12131733 -0.20714217
  0.36727083  0.17575805 -0.377144    0.1353717   0.06564108 -0.17695269
  0.11926746 -0.12794156 -0.15200704 -0.35962597  0.25084206 -0.15800585
 -0.31455106 -0.15147811  0.40460864  0.28631988  0.0600985   0.02013019
  0.14190891 -0.08901273 -0.06305138 -0.01921254 -0.06110312  0.34421685
 -0.16299355  0.29869655  0.23146038 -0.39311367 -0.12390728 -0.4075181
 -0.17301649  0.19786587  0.25015905 -0.12258939  0.09880315  0.20052743
  0.17140158  0.0171678  -0.05047295 -0.0988995  -0.16575462 -0.11535801
  0.3107215   0.12391179 -0.10197248 -0.3558727  -0.19529316  0.16391462
  0.24563202  0.10812655  0.36788645 -0.21886057  0.07133773 -0.09849587
  0.12038308 -0.1208813   0.22697145 -0.17857635  0.2350225   0.2886446
 -0.11378466 -0.20331347  0.18596889  0.23120287 -0.22723559 -0.07712521
  0.29406697 -0.2013233   0.03940257  0.21330084  0.09421894 -0.27171814
 -0.31388128 -0.2127142   0.31800848 -0.3186095   0.13737422  0.3967121
  0.10061534 -0.19210348 -0.00111881 -0.14179592 -0.12038593  0.24860413
 -0.04145103  0.3824575  -0.27109382  0.18326288 -0.11114006 -0.23910752
  0.16723661 -0.22022182 -0.12188686 -0.25563943  0.16434184 -0.23657073
 -0.11918577  0.14410657  0.10810728 -0.40747496  0.16490182 -0.00633127
  0.04110569 -0.12889999]"
104792,"[ 0.05599844  0.03278429 -0.11756691 -0.03594447 -0.03230102 -0.12121373
  0.01306231  0.0446457   0.16922888  0.117218   -0.11194807  0.07448379
 -0.06925298  0.01118951 -0.03842869 -0.08114199 -0.01707111  0.05575519
  0.07549611  0.23269175  0.03347798  0.00977583  0.00969685 -0.11839058
  0.15958704  0.10534237 -0.16010937  0.02791921  0.03556117 -0.02440122
  0.03549612 -0.07748408 -0.08859111 -0.15308498  0.11840631 -0.0722783
 -0.09384947 -0.07818292  0.17670652  0.06773798 -0.01628141 -0.0124754
  0.07039591 -0.00598725 -0.05575413  0.04742197 -0.08046973  0.11016377
 -0.02212278  0.12263268  0.03520928 -0.15123396  0.00252578 -0.1697635
 -0.08943199  0.06576518  0.12033667 -0.05826307  0.03032467  0.05953851
  0.10208829 -0.0397089  -0.03527647 -0.0428889  -0.02644583 -0.03164392
  0.14919503  0.07218645 -0.04500828 -0.11616013 -0.06564449  0.05703266
  0.03311859  0.06405053  0.15254074 -0.10040367 -0.03742126 -0.01916801
  0.07615847 -0.0750488   0.06455496 -0.03028354  0.15021265  0.14407875
 -0.11853036 -0.05649766  0.07344524  0.06897185 -0.11912978 -0.04402798
  0.14283717 -0.05884198  0.08023509  0.1109491   0.02660211 -0.06293418
 -0.15387848 -0.08204457  0.16211864 -0.11934808  0.08697785  0.17055076
 -0.01017471 -0.05133421  0.02775227 -0.05826602  0.00667595  0.08477052
  0.03044268  0.12275535 -0.11447143  0.02949066 -0.08959083 -0.0674357
  0.02474388 -0.10178621 -0.07710041 -0.08874777  0.08297116 -0.08089938
 -0.00378121  0.0248186   0.02012087 -0.12646468  0.08137995 -0.02140424
 -0.0185011  -0.07538206]"
104918,"[ 0.06747551  0.04684096 -0.14441086 -0.0583897  -0.07070918 -0.17378914
  0.05045842  0.0699168   0.207654    0.17055784 -0.1370051   0.08254287
 -0.10633482  0.01076364 -0.08140918 -0.10218327 -0.06473814  0.07519063
  0.11759989  0.31839973  0.0573109   0.00564458  0.03824064 -0.13868833
  0.20614177  0.12437644 -0.21471769  0.06042465  0.04244432 -0.06778406
  0.06008403 -0.09022448 -0.10420701 -0.2107441   0.1449083  -0.09507814
 -0.14898768 -0.09914491  0.23364317  0.12422304  0.00327259 -0.0055726
  0.0913295  -0.03148068 -0.04970201  0.03477066 -0.07885747  0.17248029
 -0.06506499  0.16791958  0.09508121 -0.2132909  -0.0323588  -0.22596782
 -0.11841277  0.097753    0.15013042 -0.07151487  0.04892266  0.10199349
  0.12395633 -0.02471292 -0.04373576 -0.05374977 -0.05827766 -0.05905758
  0.19213757  0.07853542 -0.05505439 -0.17851517 -0.10265095  0.08527711
  0.08292707  0.07205079  0.20812193 -0.13186835 -0.01497196 -0.03459159
  0.08565615 -0.078271    0.10832668 -0.06864331  0.17249818  0.17923813
 -0.11930926 -0.0897862   0.09917323  0.10728458 -0.14445102 -0.04771414
  0.18001425 -0.08888936  0.06852993  0.13816899  0.0455589  -0.12144433
 -0.1937127  -0.1099811   0.20628063 -0.17524728  0.10464299  0.22394742
  0.01709803 -0.08979262  0.01820923 -0.07776988 -0.02686764  0.12396245
  0.00972358  0.19588889 -0.16114332  0.06698938 -0.09015346 -0.11258834
  0.05710841 -0.1367065  -0.08532736 -0.13071574  0.10428646 -0.12200386
 -0.03189962  0.05243554  0.04374559 -0.20069443  0.10340147 -0.02079925
 -0.00646973 -0.08850468]"
104925,"[-0.1059422  -0.12317605 -0.03797018  0.16927539  0.07894847  0.14945734
 -0.14000498 -0.16257836 -0.0574424  -0.19835092  0.01060222  0.05757815
  0.14860696  0.06494883  0.19972914  0.12499903  0.15571916 -0.04411795
 -0.2388424  -0.22383976 -0.1632351   0.01728715 -0.10060673 -0.01608051
 -0.06400025  0.0352153   0.11430954 -0.18959722  0.06162232  0.20073235
 -0.04078025  0.05921389 -0.00939338  0.16358982 -0.14588647 -0.02731705
  0.18516645 -0.04948555 -0.10402403 -0.16856396 -0.11485697 -0.116017
 -0.0683643   0.1910156   0.01956848  0.07155917  0.00545317 -0.179591
  0.1630435  -0.10491741 -0.08808772  0.22002406  0.15962638  0.02049813
 -0.05195242 -0.14648493 -0.02917529  0.08061326 -0.0902326  -0.2351905
  0.03231322 -0.16424133  0.0707465   0.14530934  0.1858052   0.07956789
 -0.08907797 -0.0214672   0.04222597  0.2624948   0.08574621 -0.1509262
 -0.21881425 -0.03405254 -0.13467294  0.09231766 -0.22375597  0.16615494
  0.05079336 -0.06980091 -0.16354604  0.12329392 -0.02038574 -0.14598514
 -0.1692621   0.21855046 -0.0951347  -0.18858626  0.04863866 -0.09722117
 -0.07648179  0.11762142  0.13079213  0.06533644 -0.03970355  0.17210841
  0.02278683  0.06972631 -0.08312649  0.16867623 -0.05679106 -0.11069591
 -0.18057981  0.16766578  0.01581664  0.01586933  0.20717002 -0.07839391
  0.16011882 -0.21065047  0.11408643 -0.17964086  0.05740935  0.2442618
 -0.16168071  0.13089786  0.00183696  0.1462434   0.04147884  0.14276096
  0.21274608 -0.14853373 -0.19821344  0.23981445 -0.10087021 -0.0812425
 -0.14386341 -0.04197019]"
104926,"[ 0.08298804  0.06158086 -0.17223912 -0.09184539 -0.12072308 -0.25268018
  0.10057337  0.08901798  0.26095322  0.23645143 -0.16861264  0.09923384
 -0.15471096  0.00651448 -0.1412533  -0.14494446 -0.12540852  0.09083455
  0.16618997  0.43727413  0.08364681  0.00252397  0.07152133 -0.17116198
  0.28063133  0.14283103 -0.29422098  0.09162503  0.05140377 -0.12136885
  0.08713019 -0.10866375 -0.12476075 -0.27290747  0.19480324 -0.1268235
 -0.22563747 -0.12888768  0.32036492  0.1995892   0.02409505  0.00992808
  0.11793943 -0.05881749 -0.05305197  0.00880639 -0.07604807  0.258044
 -0.11298264  0.22827245  0.15571305 -0.2961258  -0.08119493 -0.30698925
 -0.1465212   0.14630416  0.20398156 -0.09662086  0.07399478  0.1403202
  0.14114615 -0.00233981 -0.04345273 -0.07147641 -0.11080144 -0.08681719
  0.24569577  0.09486181 -0.07834397 -0.25521126 -0.14701128  0.12511455
  0.1631799   0.08475057  0.28340125 -0.18054262  0.02577271 -0.06114348
  0.10381067 -0.0927045   0.16451365 -0.12512371  0.19568744  0.22519892
 -0.12253752 -0.14330566  0.13582958  0.16711548 -0.18114348 -0.06371474
  0.23551299 -0.13433462  0.05377368  0.17595598  0.06556825 -0.19115229
 -0.24593031 -0.1580205   0.2585652  -0.2471591   0.11791466  0.30868527
  0.05336303 -0.13604589  0.00794331 -0.10872345 -0.06541896  0.18133561
 -0.01217409  0.28519395 -0.21513909  0.12024499 -0.10303882 -0.17277998
  0.10590677 -0.17214602 -0.09826173 -0.19347622  0.1222652  -0.17719431
 -0.07277004  0.10075412  0.07206301 -0.29834947  0.12898678 -0.01659313
  0.01859996 -0.10935052]"
105062,"[ 0.1111319   0.08746681 -0.24389544 -0.13945514 -0.21927896 -0.3842742
  0.20785052  0.15228902  0.3637867   0.3559474  -0.23226702  0.12906556
 -0.24271825 -0.00173111 -0.25738564 -0.22203287 -0.24652766  0.13314833
  0.2714913   0.67089456  0.11622145  0.00351837  0.1536196  -0.22608489
  0.42086375  0.19633502 -0.43625808  0.16859433  0.07646155 -0.21886364
  0.143499   -0.13825119 -0.16667314 -0.41184688  0.28162277 -0.18302181
 -0.37335506 -0.17401814  0.47254005  0.34505194  0.07697698  0.031095
  0.16759787 -0.12368906 -0.06205228 -0.03689896 -0.05837312  0.41108668
 -0.20314589  0.34763673  0.29606956 -0.4599797  -0.15917435 -0.46263328
 -0.2002714   0.23127687  0.28258565 -0.1420473   0.12477537  0.24084516
  0.1974051   0.03491809 -0.05658326 -0.11019967 -0.20265892 -0.14667808
  0.35665125  0.13140649 -0.1181549  -0.41824654 -0.23298055  0.19259661
  0.30307394  0.11987779  0.431444   -0.25142774  0.09934625 -0.11798769
  0.13494793 -0.12772106  0.2752187  -0.21966812  0.25822085  0.3256042
 -0.11427826 -0.24774447  0.21761906  0.27267462 -0.25949907 -0.08950892
  0.33487546 -0.23529568  0.02588118  0.24601962  0.11666859 -0.3304066
 -0.35995194 -0.24146393  0.36760813 -0.37729263  0.15212175  0.45910445
  0.12209915 -0.23524004 -0.00812344 -0.15998933 -0.15774031  0.29690415
 -0.06218068  0.46655214 -0.31158     0.22879383 -0.1132022  -0.2845361
  0.20979269 -0.254176   -0.13326481 -0.30292758  0.18830892 -0.2834057
 -0.15024993  0.17036903  0.1269787  -0.4896856   0.18553734 -0.00360216
  0.05228694 -0.14207345]"
105077,"[ 0.10026301  0.07828598 -0.2121125  -0.11137269 -0.16426054 -0.31171557
  0.14826539  0.12565479  0.30383912  0.28397018 -0.19270773  0.1181957
 -0.19808488 -0.00476188 -0.18559363 -0.17678781 -0.18150689  0.11567738
  0.22392322  0.5484045   0.09424917  0.00881854  0.11715753 -0.19911805
  0.35635662  0.1741957  -0.3520131   0.13301942  0.06576924 -0.16033706
  0.11597436 -0.12702663 -0.15441455 -0.33888835  0.22657987 -0.14673021
 -0.28405562 -0.14915884  0.37798944  0.25753948  0.0585337   0.02582793
  0.13576147 -0.09287887 -0.05587505 -0.01813737 -0.06687161  0.32694116
 -0.16605362  0.28582856  0.2235737  -0.363736   -0.12299133 -0.3835993
 -0.17416365  0.17780727  0.23630072 -0.11107285  0.09261217  0.19113815
  0.1644015   0.0137872  -0.04591829 -0.092236   -0.15089828 -0.1113621
  0.28712302  0.11420354 -0.09553967 -0.33997256 -0.18852237  0.14806128
  0.22400415  0.11022501  0.3581249  -0.20999894  0.05923617 -0.08163834
  0.1160906  -0.11222593  0.2177522  -0.16749528  0.22583477  0.27946526
 -0.11521263 -0.18429631  0.1811893   0.20552224 -0.21861923 -0.06979486
  0.2844425  -0.18649095  0.04106998  0.21177298  0.08594992 -0.25565857
 -0.29853573 -0.1890028   0.31257367 -0.30411604  0.1514572   0.36748084
  0.08513964 -0.19606821 -0.00696024 -0.12788177 -0.10665655  0.23447455
 -0.0391876   0.37231493 -0.26171023  0.16953194 -0.11065105 -0.22884655
  0.15050302 -0.22131942 -0.1110137  -0.23891725  0.14927603 -0.2251542
 -0.10939119  0.13252327  0.09465674 -0.40030545  0.15445155 -0.00477669
  0.02963561 -0.118515  ]"
105138,"[ 7.37555772e-02  5.12297712e-02 -1.53272033e-01 -6.61635622e-02
 -8.29762444e-02 -1.98929191e-01  6.53331056e-02  7.81426281e-02
  2.22661912e-01  1.85936794e-01 -1.44148782e-01  8.92418474e-02
 -1.19976282e-01  9.62001085e-03 -9.85673741e-02 -1.12301610e-01
 -8.64235163e-02  7.99929872e-02  1.29744917e-01  3.56933653e-01
  6.04047105e-02  6.39007427e-03  5.27395308e-02 -1.49404079e-01
  2.30040595e-01  1.32571667e-01 -2.37024099e-01  7.10303336e-02
  4.56935503e-02 -8.26096013e-02  6.87524602e-02 -9.90026146e-02
 -1.13507822e-01 -2.23469481e-01  1.58693060e-01 -1.02507539e-01
 -1.70367420e-01 -1.10873893e-01  2.58117378e-01  1.43434346e-01
  1.51719898e-02  4.66760248e-04  9.68425721e-02 -4.13080826e-02
 -5.00744656e-02  2.70655081e-02 -7.52441585e-02  1.98448330e-01
 -7.90278539e-02  1.86404347e-01  1.15318477e-01 -2.35756308e-01
 -5.02346531e-02 -2.52645701e-01 -1.26704887e-01  1.10571019e-01
  1.65936843e-01 -7.79394284e-02  5.61976470e-02  1.13976881e-01
  1.28612235e-01 -1.68339647e-02 -3.95811088e-02 -6.30862564e-02
 -7.31656477e-02 -6.65728971e-02  2.06950963e-01  8.57996792e-02
 -6.25662133e-02 -2.03914016e-01 -1.14721887e-01  9.46765617e-02
  1.08398385e-01  7.94898197e-02  2.32321680e-01 -1.49419636e-01
 -2.57484615e-04 -4.38245796e-02  8.92372504e-02 -8.65630209e-02
  1.30218804e-01 -8.45480785e-02  1.74686402e-01  1.95285812e-01
 -1.17258027e-01 -1.04057625e-01  1.14227861e-01  1.23417445e-01
 -1.54371202e-01 -5.17353080e-02  1.96558014e-01 -1.05521470e-01
  6.43787682e-02  1.51804924e-01  4.86965850e-02 -1.40832812e-01
 -2.08519310e-01 -1.23153284e-01  2.23652378e-01 -1.93678126e-01
  1.12778440e-01  2.48157203e-01  2.99165025e-02 -1.08429745e-01
  1.32993255e-02 -8.65185857e-02 -3.90892923e-02  1.40543804e-01
  1.66083872e-03  2.25405723e-01 -1.74604654e-01  8.31571147e-02
 -9.59274024e-02 -1.31422877e-01  7.34407157e-02 -1.48937687e-01
 -8.97382572e-02 -1.47359520e-01  1.07570350e-01 -1.38877153e-01
 -4.33122441e-02  6.67247549e-02  5.27781807e-02 -2.35217303e-01
  1.09158009e-01 -1.74236186e-02  1.83820724e-04 -9.40018594e-02]"
