player_id,final_embedding
100644,"[-0.04735096  0.46848455  0.21708672 -1.9366233   0.85058254  0.2328984
 -0.30046314  0.12219888 -2.0584831   0.72108364 -0.77062595 -0.94681656
  0.23825315 -0.190396   -0.32813513 -1.3010263   0.29236883 -1.1919982
 -1.2976626  -0.7069833   0.02004657  0.7239149   0.35026455 -0.8171129
 -0.48173675 -0.17556834  0.4554182  -0.5779309  -0.50479573  1.96823
  0.02273692  0.54880875 -0.50092155 -0.24081172  1.1988317  -1.1135734
  0.73758274  1.1079813   1.8074983   0.8320745  -0.1131594   0.98827565
  0.01562117  0.78756934 -1.3667151   0.3622053  -1.1484101   1.1140606
 -0.37542942  0.40863597  0.8311003   1.7820435   0.8866481  -0.833449
 -0.70191795  1.3146558  -1.0401568  -0.38802734 -0.8868616   0.9417082
 -1.7167052   1.7666605   0.7523429   0.5927255   2.0488844  -0.1620852
  0.05498157 -1.7873533  -0.01191786 -0.30394924  0.6491578   0.2311417
 -0.7826101  -0.7471717  -0.78828204  0.81341034  0.7850063   0.7639663
  0.7395297  -0.7617454  -1.1183797  -1.0007027  -0.5809435  -0.06039353
  0.24283548 -0.41887593 -0.14535308  0.5025576   1.1867837   0.3860815
 -1.7447915  -1.3072481   0.32078984 -0.43798947 -1.5248326  -0.7335351
 -1.0420291   0.65387243 -0.46777502 -0.46985835  0.5540828   1.0448269
  0.44975942  0.27131402  0.52886266 -0.51981485 -0.9487585  -0.9327872
 -0.86631554  0.82776564 -1.7828678   2.0811749   0.12195468 -0.41049522
 -0.48276743 -1.3316923   0.90522796  0.59253824 -1.0649545   0.3519587
 -0.08993778 -0.70209146  0.05823844 -1.327606   -0.62299776 -0.1331109
  0.7873578  -0.8407053 ]"
104527,"[-0.0195176   0.590963    0.31102246 -0.09847353  0.09933911  0.45957878
  0.00940016 -0.32463822 -0.58641744  0.62781125 -1.4716997  -0.77005774
 -0.24928425 -0.32670474  0.6718414  -1.0955627   1.1651983   0.5594721
 -0.3819519  -0.47513628 -0.29033452  1.0842394   1.1014279   0.41294083
 -0.09109591  0.04687247  0.00686159  0.12858194 -0.10241198  1.0089078
 -0.11814385 -0.34969974 -0.34240314 -0.21758409 -0.3540449   0.02032108
 -0.7633869   0.6143233   0.48172495  0.18615934 -0.03313373  0.61057544
 -0.81005824  0.29819328 -0.32757092  0.5451013  -1.0245641   1.1793146
 -0.08540775 -0.9088718  -0.4641682  -0.679182   -0.50320804  0.13586298
  0.1848112  -0.45309865 -0.48342064  0.72924185 -0.91438997  0.86183095
 -0.7926678   0.21935526  1.4262395   1.3060938   1.106118    0.02736659
 -0.8251634  -0.8300855   0.16912043  0.14199953  0.54385746  0.4444022
 -0.277336    0.20087396  0.41660148  1.0119007   0.8134239   0.9746044
  0.34264874 -0.2263813   0.35691187  0.47633156 -0.456351    1.6937536
 -0.53940386 -0.99742854  0.39121267  0.06638578  0.5856627   0.46317846
 -1.3489287  -0.67193663  0.19963007  0.66548115  0.5481102  -0.38610578
 -0.20662889 -0.06024498  1.0573314   0.2809613   0.8937549  -0.4398984
  0.8427131  -0.2950567   0.3844948  -0.13484904 -0.14564222 -1.0100586
 -0.41762853  0.04903122 -1.0877004   0.99812496 -0.33259645  1.1375874
 -0.19164985 -0.4328342  -0.6279556   0.8411191   0.14238325  0.30629125
  0.43188888  0.7296562   0.32511485 -1.153063    0.8779154   0.13456477
  0.637034    0.54591006]"
104755,"[ 0.26257655  1.3755405   1.288162    0.35860422 -0.16047825  1.4442815
 -0.42393798 -0.6793733  -0.18126506  0.13860062 -0.9272959  -1.0688622
 -0.7096282   0.5140953  -0.0960902  -0.46983013 -0.31346777 -0.16085556
  0.1145711   0.16625115 -0.11428513 -0.09774217 -0.45046127  0.4262716
 -1.1369021   0.970443   -0.8634761   0.63172245  0.3282165   0.6412076
 -0.46494263 -0.7454845  -0.636369    0.401446   -1.0309116   0.27731088
 -1.0314974   1.5057722   0.35944286  0.08610035  0.7014866   0.64089143
 -0.41684243  0.60013264 -0.09628507  0.11362524 -0.41766447  0.54565716
  0.10475712  0.30175933  0.16035175 -0.34209195 -0.24334872  0.06713288
 -0.32668176 -0.40654132 -0.14098202  0.98428065  0.1320514   0.60855556
 -0.2815886  -0.3849479   0.3132663   1.213431   -1.1839755   0.016982
 -0.03147965 -0.26829916 -0.0793367   0.02151323  0.3507951   0.38882846
 -0.60402787  0.71498895  0.8431662   0.74892145 -0.17588446 -0.45707732
  0.81861806 -0.29885235  0.8292276   0.49966854 -0.34129816  1.2607805
 -1.2091141  -0.01088294 -0.53134114 -0.69014525 -0.87639886 -0.00643931
 -1.4161683  -0.8054994   0.23521286  0.16891873  1.2779622  -0.47350517
  0.5732194  -0.01757619  0.178423   -0.10971664  0.7996108   0.425623
 -0.11375275 -0.96631455  0.26022446  0.20346777 -0.22078374 -0.31026134
 -0.36555505 -0.15175864 -0.07504559  1.7444212   0.5555514   1.1667352
  0.09657137 -0.1866561  -0.03195773  0.2781139   0.5871318   0.44141558
 -0.45985773  1.0455152   0.54420483 -0.86389774  0.8547419   0.17479621
  0.453184    1.852478  ]"
104792,"[-0.2663738   0.26198816  0.08250089 -0.07728437  0.42482713 -1.4691737
  1.28028    -0.346763    1.1109872   0.11790591  0.2737208   0.07809877
 -0.27830234 -0.72627926 -0.77238816 -0.43832308  0.23487185  0.81200397
 -0.2651512  -0.15218909 -0.21044607  1.0808343   0.3293309   0.21932396
  0.27072588 -0.8500039   0.26613888  1.1877911  -0.6508921   0.8924446
 -0.35788718 -0.1512682   0.6603748   0.32706398 -0.56477875  0.4366559
 -0.69876736 -0.86786175  1.059105    0.33505443 -0.14819899  1.2454088
 -0.6005736  -0.15657353  0.44237494  0.37103415 -0.3360465   1.8958809
  0.91265684  0.1573213   0.07890695 -0.46080902  0.1878533   0.4817956
 -0.41936645 -0.07526512  0.69988024  1.2854728  -0.16443601  0.25828606
  0.7734243  -0.01125571 -0.09622907  0.1167753  -0.14506659  0.8466533
 -0.0211305   0.8577527   0.82982373  0.7713294   1.201513    0.6449332
 -0.12470905  0.6969558  -0.0992751   0.3550396   0.12946461 -0.20240334
  0.16392918  0.9213684  -1.1232929   0.01304226  0.3342822  -0.6114459
 -0.6978414  -0.7745755   0.22468922  0.13417166  0.27061492  0.08625637
 -1.2848436   1.164582    0.27379492  1.449563   -0.99402523 -2.089173
  0.4385531  -1.0153495   0.75128466  0.22448368  0.0022092  -1.3799433
  0.46019462 -0.5116115   0.3305033   0.41904938 -0.71834826 -1.348695
 -0.35414097 -0.31714588 -0.38995323  0.5283288   0.8070537   0.24615741
  0.18346803  0.452255    0.66122353  0.14500394  0.38090378 -0.34059253
  0.7424402  -0.43308386 -0.36451963 -0.26633015  0.2080786   0.6413505
 -0.00793053 -0.42640215]"
104918,"[-0.20703274  1.4337525   0.31579143  0.43647876 -0.07511621  1.248596
 -0.7900743  -0.66445214 -0.30926695 -0.46792513 -0.27443025 -1.7542505
 -0.8692114   0.43680766  0.410467   -0.8522951   0.18941821  0.007579
  0.6154339  -0.41792217 -0.01451058  0.31419113  0.77976036  0.15905628
 -1.7995093  -0.29021847  0.44444394  1.5099279   0.45497033  0.4512703
  0.09823126 -1.1108302   0.72496104 -0.1034527   0.07186901  0.22400826
 -0.35723704  0.9467687   0.11804708  0.26745456  0.1300607   1.098087
  1.5102841  -0.86418426  0.44676214  0.06943367 -0.5191265   0.063255
 -0.3508094   0.10450734 -0.33630314  0.73141766 -0.27816653  0.35324425
 -1.0243868  -0.1407148  -0.19500028  0.2944022   0.7845127  -0.06507935
  0.8974878   0.06603494  0.31482807  0.12470859  0.14259456 -0.65079
 -0.24262778 -0.15685658  0.3379362   0.23492642  0.7614943   0.8378453
  1.1888776   0.24129641  1.0849228   0.239212   -0.66604084 -0.4648502
  0.21343178  0.6593523  -0.39983737 -0.25311407  0.5240159   0.71580786
 -1.1149725   0.28556296 -1.0764896  -0.07052848 -0.01067575 -0.15695252
  0.09810209 -0.01010945  0.4726716   0.37758148 -0.11891175  0.3851621
  0.33828062 -0.9562077   0.6984495  -0.6650733   1.3169603   0.11837313
 -0.20111078 -1.5012844   0.13166596  0.9308758   0.83555514 -0.0663338
  0.10020801 -0.5485047  -1.1684058   1.1248037   0.13707997  0.80465883
  0.2426055  -0.33732963  0.11807752 -0.21633929 -0.8626649   0.7130959
 -0.65978914  2.670436    0.7393029   0.2876405  -0.5422303   0.5551732
 -0.07822219  0.09759094]"
104925,"[ 1.0065507   2.14168    -0.6621296   0.371674    0.8848774  -1.7300688
 -0.3263904  -2.200229   -3.0033479  -0.9646219  -0.69201183 -0.65241724
  0.17392144 -2.6915314  -0.5261584   0.7086819   0.53724396 -0.9667061
 -1.4969255   0.12745135 -1.1659963   1.3660053   0.85577726 -1.0817896
 -0.25230303 -0.71479404  1.5657287   2.6936958   1.0756048   2.204756
  1.0474863  -0.6111539  -0.7873194  -1.1955798   0.13918592  1.4749858
  0.56087565 -2.394218    0.32362     0.8200825  -2.45409     1.9897671
 -0.1328737   0.6719489   0.26209798  1.2832512  -0.27956218  0.7220126
  0.5870686   0.16400556 -0.68332225 -1.0692067   0.42009133  0.33819282
 -0.49407938  2.1917539  -1.3566108   1.2957729   1.3050176   0.8577467
 -0.3737411   2.5635445   1.0372036  -0.2105053   0.41842493 -0.25488696
 -0.29920897 -0.13652144  2.758259    0.631822    2.265156    0.96594155
  0.4210402  -0.03655122 -1.6282264   0.49818408 -0.9404231  -0.6440123
  2.0069807  -1.0852085  -2.4692204   0.8432846  -0.5689333   1.5232263
 -1.3746285  -1.9719653   0.8031202   1.0603818   0.35072923  2.42323
 -0.46174014  1.1023244  -1.0213279   2.682605    0.14904845  0.8020932
 -0.25332448 -0.716786   -0.89623517 -1.664104    1.3421749  -2.920627
  0.33795956 -0.5793481   2.7224972   0.7295262   0.7906303  -0.21342528
  0.58047044  1.2927581  -3.1668432   0.9293496  -0.03316848  0.494563
  1.7712742  -0.61995965  0.8990181   1.6049433   2.567203    2.032258
  1.2328395  -1.6804296  -2.1948972  -0.4608622  -1.2080294   0.92227656
 -0.34882885  0.7170737 ]"
104926,"[ 3.83404881e-01  1.27474046e+00  7.24987805e-01 -1.65908420e+00
 -1.03003585e+00 -7.80843616e-01 -1.85676187e-01 -8.51079643e-01
 -5.41103899e-01  3.59653026e-01 -1.03365672e+00 -6.24159813e-01
 -6.06568336e-01  1.94085855e-02 -9.20110419e-02 -1.05103898e+00
 -1.62354141e-01  4.07180578e-01  1.13163877e+00  9.40562487e-01
 -2.32411578e-01 -9.85978916e-02 -7.77541339e-01  1.24016547e+00
 -8.89412761e-01  8.60693157e-01  6.47603944e-02  2.46849030e-01
  4.84536916e-01  2.68585563e-01 -6.09968781e-01  7.25431740e-02
  1.20767140e+00 -6.85373425e-01 -1.49659842e-01  3.29200745e-01
 -1.08796644e+00  1.05828440e+00 -3.29140455e-01  4.98682827e-01
  2.26425350e-01  9.85938013e-01 -7.64340937e-01  4.00855750e-01
  1.67079711e+00 -1.85876310e-01 -8.88316393e-01 -4.20063823e-01
 -3.79546732e-01  8.75743449e-01  1.39810190e-01 -3.35865110e-01
 -4.04516369e-01  1.29497123e+00  2.36268595e-01 -9.80677366e-01
 -1.58367765e+00  5.24647534e-01 -1.27011049e+00  7.32455969e-01
 -1.97669715e-02 -1.05392814e+00 -1.11371532e-01 -5.27497470e-01
  8.29430699e-01 -3.38495284e-01 -1.88071638e-01 -3.09446186e-01
 -5.58020353e-01  8.26028705e-01  1.12288877e-01  5.84391713e-01
 -7.43572414e-01 -3.21527421e-01  6.42435431e-01  2.10081887e+00
  1.69328347e-01 -7.22041726e-01  2.83965409e-01  1.46109387e-01
 -3.84975404e-01 -7.76372135e-01 -2.90549904e-01 -1.13806896e-01
 -1.08418798e+00 -6.19859621e-03  5.74690163e-01 -3.29412878e-01
 -1.06198442e+00  1.51078388e-01  5.73425833e-03  1.33478299e-01
 -1.37744203e-01 -3.05110589e-03 -1.35281062e+00  4.44605500e-01
  4.41159427e-01 -3.04757386e-01 -5.04309475e-01 -6.67916656e-01
  6.12469554e-01  3.88432831e-01 -4.97208863e-01 -2.92179137e-01
 -3.47677767e-01 -5.20189404e-01 -1.56620494e-03  5.93431652e-01
 -1.04134524e+00 -5.50781369e-01  3.99082512e-01  1.80143118e+00
  3.56883675e-01  1.74749076e+00 -1.93990264e-02  2.92718142e-01
  1.18839753e+00  1.54676104e+00  1.31891489e+00  1.13650858e+00
  2.09277296e+00  6.98070943e-01  5.53372018e-02 -5.37624300e-01
 -4.68909800e-01 -1.73928782e-01  1.43461657e+00  1.18097639e+00]"
105062,"[-0.34048867  2.2130318   0.4854383  -1.8209903   0.42178145  0.740442
  1.410451   -0.19992854 -0.69442743  0.04409876 -0.503891   -2.1505446
 -1.932413   -1.6242101   0.35355356 -0.5196915  -0.4476554  -1.5469455
 -0.4531563  -0.44755745  0.638964   -0.702517   -0.0242788   0.3315685
 -0.96245503  0.8813044   0.11685171  0.3108929  -0.2984788   1.4541512
 -0.9420546  -1.2708589   1.2138635  -0.28769335  1.4577444   0.21836519
 -0.00542989  0.5306943  -0.14681056  0.1312926   0.6275198   0.69114745
 -0.2703702  -1.5141501  -0.44789943 -0.89587945 -1.5009761   1.4917517
  0.41451794 -0.34250075  0.41256937 -1.155171   -0.8142582   0.32831764
 -1.2360113  -0.56861544 -0.57490164 -0.2721654   0.804377   -0.7210907
 -1.0415593   0.97015285  0.4130377  -0.23165746 -0.10291     1.9915608
  1.4822376  -0.69689274  1.4950455  -0.18454947  0.4628873  -0.13315551
  0.3583664   0.4024313   0.7017993   0.32494035 -0.65091234  0.11583547
  0.00935294  0.59466165 -0.5593073  -1.5263114   0.15507425  0.9536874
 -1.5462494   0.5660891  -0.6816219   0.12586458 -0.38217014 -0.08064198
  0.2176861  -0.2652495   0.77022314  1.2583716  -1.8466637  -1.1228292
 -1.2955154   0.05325159  0.65187514 -0.41014206  0.37748012 -0.5829897
  0.17629129 -1.9879423   1.1618708   1.6219497   0.05123679 -1.1856103
  0.79886204 -0.93173146 -1.8586287   1.1231283  -0.76132715  0.7773947
  0.7676743   1.1247677   1.4082501   0.22247806 -0.42244694  0.00339447
 -0.19276835 -0.5634059   0.10601003  0.6538666   0.2801372   0.9994478
  0.5776336   1.1158992 ]"
105077,"[-5.15157521e-01  7.68690765e-01  3.71027857e-01 -1.05331492e+00
 -1.66638935e+00 -1.24758410e+00 -5.12558937e-01 -2.30911523e-01
 -9.73151326e-01 -6.63623214e-01 -7.02384710e-01 -9.82677713e-02
 -4.22839642e-01 -5.24174154e-01 -9.93488207e-02 -2.19842508e-01
 -2.27904484e-01  6.21639192e-02  2.71390766e-01  3.01065832e-01
 -1.91485267e-02  7.87213668e-02  5.60412765e-01  4.24346440e-02
 -9.69372690e-01 -3.16152513e-01 -4.74690020e-01 -4.49849635e-01
 -1.34552658e+00  3.24500620e-01 -8.07963431e-01 -1.17902517e+00
 -1.33460417e-01  7.33456612e-01 -2.91841537e-01  1.19271803e+00
 -5.92395842e-01  5.08285105e-01  7.32981637e-02 -4.86130506e-01
 -6.31014109e-01  1.57707608e+00  2.31430501e-01  9.61820245e-01
  7.07505941e-01  6.10369623e-01 -4.98199970e-01  5.45401037e-01
 -1.84155333e+00  2.66154826e-01 -2.56167054e-01 -1.91746563e-01
  1.53920740e-01  3.75225455e-01 -3.49503487e-01  5.99635579e-02
 -1.04827535e+00  1.79657435e+00 -2.36494255e+00  3.98235261e-01
  9.54624474e-01 -1.10261607e+00 -2.35297620e-01 -1.30530283e-01
 -6.79897606e-01  1.22896588e+00 -5.74060798e-01 -1.41905069e-01
 -1.97058529e-01  5.05811214e-01 -2.99768716e-01 -5.29951394e-01
  1.42064655e+00  1.42467797e+00  1.09772050e+00  5.82513288e-02
  6.65195957e-02 -4.25163776e-01 -5.28895199e-01  1.14030981e+00
 -8.10658991e-01  5.49624443e-01  9.19333816e-01 -8.45779255e-02
 -1.00205898e+00 -1.00950527e+00  1.68738618e-01 -8.52047324e-01
 -1.21797949e-01 -4.73370761e-01 -4.83330399e-01 -3.01803678e-01
  1.21943319e+00  3.44839185e-01  3.13900530e-01 -6.59949243e-01
  8.42435896e-01 -5.00952065e-01  2.45894209e-01 -1.01535916e-01
  2.61603802e-01 -2.64768917e-02  3.73292565e-02 -1.11436650e-01
  4.15503964e-05  1.60051093e-01  5.13305783e-01  5.65647423e-01
 -1.19976856e-01 -2.06962958e-01  1.01262224e+00  6.68553650e-01
 -5.73590040e-01  1.79173708e+00  6.50337279e-01 -2.81521529e-01
  1.89726949e+00  5.32930121e-02 -4.50042754e-01 -1.69232637e-01
  1.61460984e+00  7.12782919e-01 -5.23271561e-01 -6.38165951e-01
 -8.08878183e-01  9.32127535e-01  1.05101395e+00 -7.18110502e-02]"
105138,"[ 0.8152825   1.0273623   0.29169345 -1.9920529  -0.27591512 -0.19579415
 -0.76143783 -1.648446   -0.8298668  -1.1577709  -0.0097688  -0.93517256
  0.2151137  -1.4646044   0.12362357  0.24043894 -0.4988556  -0.13041367
 -0.33941367  0.78181756 -0.8461908   0.31826112 -0.66529715  0.8622042
 -1.2237859  -1.1027224  -0.93132174 -0.18150878 -0.6581541   0.9006805
 -0.9960979  -0.41163918 -0.6193852   0.33642057 -0.6728718   0.0468508
  0.12205809 -0.11334696  0.3278431  -0.410311    0.40256825  1.7584411
  0.74865484  0.9182692   0.25783294 -0.07313009  0.38596046  0.01472246
 -0.18580846 -0.00781291  0.62614864 -1.5914161   0.58417165  0.39066586
 -0.3846922  -0.09302133 -0.8907474   2.7768269  -1.1530168   0.43454546
  0.81619316 -0.6519163  -1.0166626  -0.18726812 -1.1809297   1.1716119
  0.7460271  -1.2119296   0.44545475  0.37983656 -0.5803533   0.27656946
 -0.32870588  0.05857769  0.23833334  0.8283019  -0.53681386 -0.01960152
  1.139175    0.39641386 -1.2547884   0.5738825   0.332952   -1.331995
 -2.503916    0.58507675  0.60299295  0.06945046  0.56160426  0.7673681
  0.40987584 -0.3267875  -0.7772036   0.50962526  0.394316   -0.7114702
  1.4283412   0.62274283  0.63631797 -0.3252281   0.15000246 -1.2773486
 -0.12369153 -1.0813683  -0.29963854 -0.01405983  0.2675597   0.5701989
  0.01501778 -0.48286766  1.2404685   1.1926352  -0.8546841   1.0069681
  0.75934315 -0.04275756  1.8478957   1.9571757   0.11066972  1.753604
  1.2846209  -1.1743104  -1.1455302  -0.1037572  -0.24204037 -0.03981759
  1.4522883   1.065708  ]"
